evaluations raw_y
1 -0.5518362718
2 -0.5491060509
3 -0.4914195161
5 -0.4862477002
9 -0.4507900870
18 -0.4368410805
27 -0.4273805904
31 -0.4170842336
34 -0.4072142112
44 -0.4067458720
46 -0.4043916618
50 -0.4007802436
65 -0.3869218962
78 -0.3802315818
88 -0.3725523897
119 -0.3704656589
137 -0.3656538147
144 -0.3602307724
145 -0.3590004822
165 -0.3543742874
189 -0.3526633920
237 -0.3503556415
246 -0.3463508551
252 -0.3445550222
259 -0.3443323541
267 -0.3439905250
338 -0.3429894846
340 -0.3416490695
367 -0.3363294337
428 -0.3355884163
437 -0.3351486871
521 -0.3314272235
524 -0.3298398112
539 -0.3285156074
557 -0.3277067485
581 -0.3269049075
621 -0.3267127261
669 -0.3263662975
675 -0.3233873686
697 -0.3218563922
705 -0.3181349286
753 -0.3175650447
900 -0.3172410064
998 -0.3164787087
1927 -0.3159985887
4466 -0.3146383910
4575 -0.3127673718
4930 -0.3074081760
26115 -0.3038116891
26192 -0.2992978015
43142 -0.2958200732
100000 -0.3023453435
