evaluations raw_y
1 0.0000000000
2 1.0000000000
3 5.0000000000
16 6.0000000000
20 9.0000000000
52 11.0000000000
58 12.0000000000
318 13.0000000000
322 14.0000000000
364 15.0000000000
402 18.0000000000
452 20.0000000000
546 21.0000000000
587 23.0000000000
650 24.0000000000
858 26.0000000000
1049 27.0000000000
1082 28.0000000000
1118 29.0000000000
1203 31.0000000000
1352 33.0000000000
1454 34.0000000000
1484 37.0000000000
1798 39.0000000000
1853 40.0000000000
1860 42.0000000000
2529 48.0000000000
2586 49.0000000000
2999 50.0000000000
3443 51.0000000000
3478 53.0000000000
3645 55.0000000000
3746 56.0000000000
3846 58.0000000000
3850 60.0000000000
4236 61.0000000000
4310 64.0000000000
4375 66.0000000000
4624 67.0000000000
5228 68.0000000000
5256 72.0000000000
5591 78.0000000000
5811 79.0000000000
6186 80.0000000000
6406 83.0000000000
6562 84.0000000000
6718 86.0000000000
6933 88.0000000000
7032 90.0000000000
7255 92.0000000000
7342 95.0000000000
7747 97.0000000000
7869 99.0000000000
8192 100.0000000000
100000 100.0000000000
