evaluations raw_y
1900001 2782.0000000000
1900007 2905.0000000000
1900014 3000.0000000000
1900015 3431.0000000000
1900022 3457.0000000000
1900034 3613.0000000000
1900040 3692.0000000000
1900043 3727.0000000000
1900049 3768.0000000000
1900057 3773.0000000000
1900068 3804.0000000000
1900072 3810.0000000000
1900073 3815.0000000000
1900078 3822.0000000000
1900103 3857.0000000000
1900108 3953.0000000000
1900119 4062.0000000000
1900125 4073.0000000000
1900135 4095.0000000000
1900137 4130.0000000000
1900151 4167.0000000000
1900160 4200.0000000000
1900163 4209.0000000000
1900167 4233.0000000000
1900170 4261.0000000000
1900178 4308.0000000000
1900196 4379.0000000000
1900237 4418.0000000000
1900243 4488.0000000000
1900263 4519.0000000000
1900275 4546.0000000000
1900298 4635.0000000000
1900313 4649.0000000000
1900334 4650.0000000000
1900378 4707.0000000000
1900388 4731.0000000000
1900430 4739.0000000000
1900446 4758.0000000000
1900457 4787.0000000000
1900488 4793.0000000000
1900502 4804.0000000000
1900518 4824.0000000000
1900558 4827.0000000000
1900571 4906.0000000000
1900594 4930.0000000000
1900756 4948.0000000000
1900757 4949.0000000000
1900758 4975.0000000000
1900777 5008.0000000000
1900788 5017.0000000000
1900822 5035.0000000000
1900951 5039.0000000000
1900977 5050.0000000000
