evaluations raw_y
1 0.8647526807
2 1.1698642957
6 1.3361838589
7 1.3912075682
9 1.4148273911
10 1.6265452180
26 1.7277125086
120 1.7325017325
172 1.8181818182
255 1.9700551615
351 2.0990764064
430 2.1204410517
434 2.1496130696
450 2.2026431718
490 2.4485798237
502 2.5329280648
609 2.6910656620
663 2.7685492802
667 2.8312570781
717 2.8968713789
942 3.0303030303
954 3.0599755202
986 3.4199726402
1273 3.5260930889
1391 3.8402457757
1819 3.8759689922
1909 3.9619651347
100000 3.9619651347
evaluations raw_y
1 1.0679196924
2 1.1225864392
6 1.3433637829
15 1.4611338399
22 1.5346838551
29 1.6393442623
116 1.7717930546
231 1.7998560115
263 1.8698578908
271 1.8726591760
296 1.9731649566
329 2.0080321285
347 2.4727992087
396 2.5125628141
470 2.9726516052
485 3.0229746070
555 3.0826140567
571 3.1685678074
683 3.1928480204
700 3.6179450072
1249 3.6710719530
1424 3.7037037037
1479 3.7593984962
1513 3.8639876352
1558 3.9001560062
1994 4.1186161450
2055 4.1322314050
2378 4.1459369818
2815 4.3029259897
3988 4.4247787611
100000 3.2938076416
evaluations raw_y
1 1.2406947891
27 1.2813941568
28 1.3304949441
35 1.3564839935
48 1.3912075682
89 1.5713387806
103 1.5792798484
169 1.5852885225
179 1.7349063151
185 1.7397355602
255 1.9700551615
320 2.1987686895
379 2.3832221163
399 2.5641025641
578 2.5906735751
592 2.6232948583
683 2.9377203290
708 2.9726516052
844 3.1133250311
869 3.1289111389
903 3.4199726402
13487 3.4770514604
13827 3.5460992908
13946 3.5765379113
14250 3.5868005739
14504 3.8167938931
93283 3.9370078740
100000 2.5641025641
evaluations raw_y
1 0.8635578584
3 0.9671179884
4 1.4714537964
22 1.4731879788
26 1.5346838551
107 1.6015374760
139 1.6160310278
166 1.6458196182
241 1.7135023989
242 1.9069412662
244 2.0542317173
319 2.0990764064
360 2.2831050228
384 2.3041474654
422 2.3562676720
458 2.3969319271
462 2.4533856722
481 2.5176233635
540 2.6795284030
595 2.7502750275
709 2.8058361392
811 2.8121484814
848 2.8901734104
886 2.9036004646
914 2.9239766082
955 2.9797377831
1019 3.0826140567
5278 3.1766200762
5478 3.2010243278
5640 3.2092426187
5754 3.2175032175
6061 3.2594524120
6317 3.3377837116
6736 3.3467202142
6953 3.4293552812
66621 3.6390101892
100000 3.1367628607
evaluations raw_y
1 1.0266940452
2 1.2071463061
18 1.2201073694
23 1.4836795252
58 1.5051173992
71 1.5124016939
77 1.7470300489
232 1.7895490336
301 1.9857029388
303 2.0016012810
361 2.0850708924
399 2.1422450728
406 2.3877745941
475 2.3923444976
486 2.4630541872
541 2.5380710660
569 2.5906735751
573 2.6123301985
639 2.7203482046
679 2.9446407538
817 3.0303030303
943 3.1685678074
961 3.2425421530
1002 3.4674063800
1143 3.6075036075
1243 3.7707390649
1513 3.9001560062
1572 3.9619651347
1652 4.0518638574
2347 4.1459369818
15950 4.2881646655
100000 4.2881646655
evaluations raw_y
1 1.0706638116
2 1.4425851125
17 1.7135023989
41 1.7397355602
129 1.8670649739
278 1.8982536067
313 2.0016012810
325 2.0210185934
331 2.2026431718
422 2.3041474654
452 2.3126734505
479 2.3430178069
489 2.3562676720
492 2.4533856722
533 2.4875621891
625 2.6399155227
773 2.6567481403
859 2.7932960894
927 2.8376844495
1230 2.9103608847
1282 3.0084235860
1323 3.1210986267
1386 3.1685678074
5381 3.1847133758
5564 3.3467202142
5670 3.5260930889
5822 3.5561877667
6059 3.6075036075
6586 3.9123630673
100000 3.9123630673
evaluations raw_y
1 1.0455876202
6 1.0883761428
8 1.3623978202
17 1.6458196182
107 1.7618040874
196 1.8050541516
205 1.8261504748
249 1.8839487566
285 1.9069412662
308 2.2104332449
421 2.3607176582
431 2.4342745862
438 2.4925224327
596 2.6343519494
602 2.8636884307
800 3.0674846626
963 3.2341526520
1070 3.2425421530
1127 3.2509752926
1167 3.4013605442
1221 3.4867503487
1310 3.5460992908
1359 3.5971223022
1531 3.9494470774
100000 2.3126734505
evaluations raw_y
1 0.9487666034
2 1.1225864392
3 1.8422991894
164 1.9098548510
220 2.3651844844
348 2.5536261491
369 2.7442371021
473 2.8184892897
511 2.8376844495
659 2.9655990510
1014 3.0450669915
1201 3.0826140567
1359 3.1210986267
1443 3.1605562579
1677 3.3557046980
1711 3.6390101892
1823 3.8520801233
19961 3.9494470774
25599 4.0000000000
25716 4.0650406504
25902 4.1597337770
25983 4.6382189239
100000 4.6382189239
evaluations raw_y
1 1.0084711577
3 1.6056518947
79 1.6329196604
108 1.6812373907
136 1.7397355602
187 1.8129079043
199 1.8208302986
316 1.9920318725
320 1.9984012790
357 2.0048115477
471 2.0885547201
494 2.0920502092
515 2.2831050228
569 2.3342670401
605 2.3607176582
623 2.3786869648
737 2.3832221163
738 2.3877745941
757 2.4201355276
762 2.7442371021
765 2.8248587571
1052 2.9655990510
1190 3.1055900621
1633 3.1928480204
1746 3.2010243278
1775 3.4387895461
2044 3.4867503487
30775 3.5063113604
30995 3.5360678925
31008 3.6390101892
31363 3.6927621861
31486 3.8402457757
100000 3.8402457757
evaluations raw_y
1 0.9754194304
2 1.1698642957
4 1.3804527885
6 1.4425851125
20 1.5290519878
36 1.6139444803
57 1.6181229773
63 1.7768301350
243 1.9394879752
339 2.0408163265
348 2.2182786158
385 2.2956841139
395 2.4015369837
441 2.5176233635
460 2.6680896478
583 2.6795284030
592 2.9239766082
772 2.9446407538
858 2.9585798817
878 3.0978934325
1063 3.3738191633
7554 3.5868005739
15514 3.8051750381
100000 3.1446540881
