evaluations raw_y
1 2735.0000000000
4 2856.0000000000
7 2929.0000000000
12 2978.0000000000
26 2996.0000000000
35 3059.0000000000
36 3130.0000000000
49 3149.0000000000
54 3172.0000000000
57 3197.0000000000
59 3281.0000000000
62 3316.0000000000
67 3367.0000000000
78 3436.0000000000
91 3524.0000000000
98 3557.0000000000
103 3599.0000000000
119 3643.0000000000
123 3657.0000000000
125 3688.0000000000
128 3789.0000000000
134 3840.0000000000
145 3883.0000000000
152 3962.0000000000
159 4019.0000000000
165 4126.0000000000
170 4155.0000000000
173 4191.0000000000
185 4204.0000000000
189 4300.0000000000
219 4356.0000000000
240 4364.0000000000
241 4379.0000000000
244 4426.0000000000
251 4438.0000000000
259 4457.0000000000
272 4481.0000000000
280 4491.0000000000
286 4540.0000000000
294 4557.0000000000
306 4564.0000000000
308 4574.0000000000
314 4591.0000000000
318 4619.0000000000
359 4625.0000000000
369 4692.0000000000
373 4716.0000000000
402 4751.0000000000
413 4783.0000000000
421 4804.0000000000
426 4820.0000000000
493 4828.0000000000
495 4847.0000000000
514 4853.0000000000
536 4888.0000000000
549 4906.0000000000
571 4929.0000000000
579 4932.0000000000
587 4936.0000000000
641 4977.0000000000
651 4991.0000000000
733 4992.0000000000
744 4994.0000000000
753 5022.0000000000
933 5042.0000000000
935 5043.0000000000
1004 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 3130.0000000000
10 3351.0000000000
17 3381.0000000000
23 3445.0000000000
39 3627.0000000000
49 3707.0000000000
58 3716.0000000000
64 3807.0000000000
70 3884.0000000000
79 3893.0000000000
89 3940.0000000000
91 4017.0000000000
98 4019.0000000000
101 4078.0000000000
104 4082.0000000000
110 4176.0000000000
120 4180.0000000000
138 4235.0000000000
150 4236.0000000000
161 4238.0000000000
163 4262.0000000000
165 4315.0000000000
175 4343.0000000000
176 4367.0000000000
178 4377.0000000000
192 4382.0000000000
193 4470.0000000000
194 4474.0000000000
200 4519.0000000000
211 4539.0000000000
228 4552.0000000000
231 4556.0000000000
234 4569.0000000000
237 4576.0000000000
246 4580.0000000000
247 4630.0000000000
257 4659.0000000000
258 4662.0000000000
261 4675.0000000000
288 4681.0000000000
353 4707.0000000000
388 4749.0000000000
392 4758.0000000000
417 4800.0000000000
428 4825.0000000000
464 4830.0000000000
485 4860.0000000000
495 4872.0000000000
497 4878.0000000000
554 4883.0000000000
557 4890.0000000000
561 4893.0000000000
576 4930.0000000000
587 4942.0000000000
637 4963.0000000000
650 4965.0000000000
661 4978.0000000000
666 4986.0000000000
677 5001.0000000000
679 5018.0000000000
683 5041.0000000000
751 5049.0000000000
1667 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2818.0000000000
7 2911.0000000000
9 3021.0000000000
18 3066.0000000000
28 3167.0000000000
37 3204.0000000000
39 3271.0000000000
44 3324.0000000000
45 3327.0000000000
46 3347.0000000000
47 3382.0000000000
49 3453.0000000000
53 3541.0000000000
54 3572.0000000000
62 3603.0000000000
67 3605.0000000000
68 3613.0000000000
70 3629.0000000000
72 3676.0000000000
81 3705.0000000000
84 3734.0000000000
96 3744.0000000000
99 3813.0000000000
101 3838.0000000000
110 3936.0000000000
120 3958.0000000000
123 4028.0000000000
127 4036.0000000000
134 4110.0000000000
140 4197.0000000000
154 4263.0000000000
171 4296.0000000000
191 4326.0000000000
196 4332.0000000000
201 4381.0000000000
202 4403.0000000000
213 4410.0000000000
220 4473.0000000000
237 4504.0000000000
251 4532.0000000000
274 4573.0000000000
299 4599.0000000000
300 4604.0000000000
323 4605.0000000000
326 4617.0000000000
344 4628.0000000000
353 4634.0000000000
362 4664.0000000000
364 4728.0000000000
376 4730.0000000000
412 4734.0000000000
440 4738.0000000000
447 4801.0000000000
454 4813.0000000000
472 4900.0000000000
536 4922.0000000000
560 4927.0000000000
610 4953.0000000000
688 4985.0000000000
737 4999.0000000000
844 5049.0000000000
