evaluations raw_y
1 -1556.0000000000
2 -1410.0000000000
6 -1332.0000000000
13 -1293.0000000000
22 -1176.0000000000
27 -1137.0000000000
28 -1098.0000000000
38 -1059.0000000000
39 -1030.0000000000
42 -1001.0000000000
46 -972.0000000000
48 -933.0000000000
50 -894.0000000000
52 -855.0000000000
53 -816.0000000000
54 -787.0000000000
56 -748.0000000000
57 -719.0000000000
58 -690.0000000000
61 -641.0000000000
63 -631.0000000000
83 -592.0000000000
84 -553.0000000000
98 -476.0000000000
103 -437.0000000000
106 -408.0000000000
107 -379.0000000000
109 -360.0000000000
135 -321.0000000000
168 -292.0000000000
175 -272.0000000000
176 -252.0000000000
190 -223.0000000000
220 -213.0000000000
228 -194.0000000000
238 -146.0000000000
244 -127.0000000000
251 -98.0000000000
264 -89.0000000000
323 -80.0000000000
370 -60.0000000000
385 -51.0000000000
450 -42.0000000000
460 -33.0000000000
464 -32.0000000000
470 -23.0000000000
482 -22.0000000000
519 -3.0000000000
576 -2.0000000000
651 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1225.0000000000
8 -1186.0000000000
30 -1176.0000000000
36 -1069.0000000000
42 -1030.0000000000
43 -991.0000000000
44 -981.0000000000
45 -942.0000000000
48 -913.0000000000
57 -835.0000000000
59 -796.0000000000
61 -786.0000000000
64 -757.0000000000
65 -718.0000000000
69 -689.0000000000
72 -660.0000000000
74 -631.0000000000
75 -602.0000000000
76 -563.0000000000
77 -554.0000000000
84 -525.0000000000
95 -486.0000000000
97 -457.0000000000
98 -447.0000000000
100 -418.0000000000
101 -379.0000000000
106 -360.0000000000
121 -302.0000000000
141 -283.0000000000
161 -264.0000000000
164 -235.0000000000
180 -225.0000000000
187 -196.0000000000
195 -167.0000000000
202 -138.0000000000
209 -109.0000000000
225 -100.0000000000
251 -81.0000000000
254 -80.0000000000
276 -79.0000000000
293 -60.0000000000
338 -41.0000000000
355 -40.0000000000
368 -31.0000000000
377 -12.0000000000
397 -3.0000000000
445 -2.0000000000
490 7.0000000000
540 8.0000000000
589 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1518.0000000000
2 -1371.0000000000
7 -1332.0000000000
8 -1293.0000000000
11 -1254.0000000000
13 -1225.0000000000
14 -1196.0000000000
17 -1157.0000000000
20 -1118.0000000000
24 -1079.0000000000
28 -1011.0000000000
42 -972.0000000000
50 -943.0000000000
52 -904.0000000000
62 -865.0000000000
64 -836.0000000000
66 -817.0000000000
77 -778.0000000000
81 -768.0000000000
96 -758.0000000000
97 -719.0000000000
105 -680.0000000000
106 -641.0000000000
114 -602.0000000000
115 -592.0000000000
137 -563.0000000000
139 -534.0000000000
146 -505.0000000000
158 -476.0000000000
159 -447.0000000000
165 -408.0000000000
167 -379.0000000000
168 -360.0000000000
173 -350.0000000000
215 -321.0000000000
228 -292.0000000000
232 -282.0000000000
275 -243.0000000000
292 -214.0000000000
298 -195.0000000000
302 -176.0000000000
335 -147.0000000000
337 -128.0000000000
