evaluations raw_y
1 7.6000000000
7 7.8000000000
9 8.0000000000
10 8.2000000000
13 8.4000000000
23 8.6000000000
34 8.8000000000
38 9.0000000000
46 9.2000000000
59 9.4000000000
62 9.6000000000
63 9.8000000000
65 10.0000000000
68 10.2000000000
71 10.4000000000
76 10.6000000000
88 10.8000000000
96 11.0000000000
101 11.2000000000
150 11.4000000000
154 11.6000000000
155 11.8000000000
169 12.0000000000
171 12.2000000000
186 12.4000000000
188 12.6000000000
229 12.8000000000
232 13.0000000000
237 13.2000000000
244 13.4000000000
245 13.6000000000
272 13.8000000000
285 14.0000000000
286 14.2000000000
305 14.4000000000
306 14.6000000000
314 14.8000000000
349 15.0000000000
461 15.2000000000
471 15.4000000000
579 15.6000000000
587 15.8000000000
1130 16.0000000000
1984 16.2000000000
100000 16.2000000000
evaluations raw_y
1 7.2000000000
7 7.6000000000
9 7.8000000000
12 8.0000000000
15 8.4000000000
16 8.6000000000
26 8.8000000000
27 9.0000000000
28 9.2000000000
32 9.4000000000
34 9.6000000000
37 9.8000000000
42 10.0000000000
43 10.2000000000
49 10.4000000000
54 10.6000000000
55 10.8000000000
73 11.0000000000
75 11.4000000000
76 11.6000000000
94 11.8000000000
97 12.0000000000
105 12.2000000000
111 12.4000000000
113 12.6000000000
114 12.8000000000
174 13.0000000000
202 13.2000000000
204 13.4000000000
220 13.6000000000
237 13.8000000000
242 14.0000000000
253 14.2000000000
257 14.4000000000
325 14.6000000000
336 14.8000000000
410 15.0000000000
490 15.2000000000
579 15.4000000000
617 15.6000000000
721 15.8000000000
1121 16.0000000000
100000 15.8000000000
evaluations raw_y
1 8.8000000000
8 9.0000000000
15 9.2000000000
20 9.6000000000
39 10.0000000000
44 10.2000000000
47 10.4000000000
55 10.6000000000
64 10.8000000000
72 11.0000000000
73 11.2000000000
86 11.4000000000
90 11.6000000000
98 11.8000000000
109 12.0000000000
123 12.2000000000
137 12.4000000000
141 12.6000000000
144 12.8000000000
152 13.0000000000
162 13.2000000000
171 13.4000000000
242 13.6000000000
243 13.8000000000
292 14.0000000000
294 14.2000000000
331 14.6000000000
343 14.8000000000
422 15.0000000000
638 15.2000000000
758 15.4000000000
900 15.6000000000
1003 15.8000000000
1166 16.0000000000
100000 16.0000000000
evaluations raw_y
1 7.2000000000
2 8.6000000000
3 9.0000000000
13 9.4000000000
18 9.6000000000
37 9.8000000000
42 10.0000000000
47 10.2000000000
51 10.4000000000
54 10.6000000000
55 11.0000000000
59 11.2000000000
76 11.4000000000
80 11.6000000000
97 11.8000000000
103 12.0000000000
116 12.2000000000
117 12.4000000000
141 12.6000000000
159 12.8000000000
203 13.0000000000
215 13.2000000000
226 13.4000000000
227 13.6000000000
244 13.8000000000
314 14.0000000000
377 14.2000000000
425 14.4000000000
437 14.6000000000
472 14.8000000000
509 15.0000000000
519 15.2000000000
524 15.4000000000
728 15.6000000000
773 15.8000000000
1775 16.0000000000
100000 15.6000000000
evaluations raw_y
1 6.6000000000
11 6.8000000000
16 7.0000000000
19 7.2000000000
22 7.4000000000
25 7.6000000000
29 7.8000000000
30 9.0000000000
40 9.2000000000
44 9.4000000000
45 9.6000000000
47 9.8000000000
48 10.0000000000
60 10.2000000000
61 10.6000000000
64 10.8000000000
70 11.0000000000
71 11.2000000000
139 11.4000000000
142 11.6000000000
145 11.8000000000
146 12.0000000000
165 12.2000000000
218 12.4000000000
220 12.6000000000
221 12.8000000000
231 13.0000000000
252 13.2000000000
288 13.4000000000
299 13.6000000000
396 13.8000000000
398 14.0000000000
405 14.4000000000
426 14.6000000000
542 14.8000000000
628 15.0000000000
691 15.2000000000
724 15.4000000000
736 15.6000000000
864 15.8000000000
948 16.0000000000
1074 16.2000000000
100000 16.0000000000
evaluations raw_y
1 7.0000000000
2 8.0000000000
4 8.2000000000
6 8.4000000000
7 8.8000000000
17 9.0000000000
24 9.2000000000
26 9.6000000000
43 9.8000000000
46 10.0000000000
50 10.2000000000
52 10.4000000000
62 10.8000000000
82 11.0000000000
93 11.2000000000
106 11.4000000000
111 11.6000000000
120 11.8000000000
122 12.0000000000
152 12.2000000000
158 12.4000000000
174 12.6000000000
181 12.8000000000
212 13.0000000000
218 13.2000000000
220 13.4000000000
225 13.6000000000
233 13.8000000000
244 14.0000000000
245 14.2000000000
290 14.4000000000
291 14.6000000000
297 14.8000000000
368 15.0000000000
396 15.2000000000
495 15.4000000000
568 15.6000000000
644 15.8000000000
696 16.0000000000
100000 15.8000000000
evaluations raw_y
1 6.6000000000
3 6.8000000000
4 7.0000000000
5 7.2000000000
7 7.4000000000
10 8.4000000000
12 8.6000000000
13 8.8000000000
20 9.0000000000
23 9.2000000000
25 9.4000000000
47 9.8000000000
52 10.0000000000
60 10.2000000000
61 10.6000000000
69 10.8000000000
71 11.0000000000
105 11.2000000000
107 11.6000000000
125 11.8000000000
132 12.0000000000
158 12.2000000000
171 12.4000000000
175 12.6000000000
197 12.8000000000
200 13.0000000000
207 13.2000000000
222 13.4000000000
227 13.6000000000
229 13.8000000000
271 14.0000000000
302 14.2000000000
322 14.4000000000
378 14.6000000000
380 14.8000000000
427 15.0000000000
483 15.2000000000
513 15.4000000000
544 15.6000000000
612 15.8000000000
1063 16.0000000000
1191 16.2000000000
100000 16.0000000000
evaluations raw_y
1 6.2000000000
4 7.2000000000
6 7.4000000000
7 7.6000000000
12 7.8000000000
18 8.0000000000
27 8.4000000000
33 8.6000000000
35 8.8000000000
42 9.0000000000
43 9.2000000000
47 9.4000000000
48 9.6000000000
50 10.4000000000
68 10.8000000000
76 11.0000000000
77 11.2000000000
91 11.4000000000
93 11.6000000000
97 12.0000000000
106 12.2000000000
114 12.4000000000
124 12.6000000000
128 12.8000000000
145 13.0000000000
160 13.2000000000
175 13.4000000000
188 13.6000000000
201 14.0000000000
226 14.2000000000
228 14.6000000000
246 14.8000000000
261 15.0000000000
272 15.2000000000
316 15.4000000000
352 15.6000000000
437 15.8000000000
490 16.0000000000
541 16.2000000000
591 16.4000000000
100000 16.4000000000
evaluations raw_y
1 6.8000000000
6 7.0000000000
8 7.2000000000
9 7.4000000000
13 7.6000000000
20 7.8000000000
21 8.6000000000
28 8.8000000000
31 9.0000000000
33 9.2000000000
34 9.4000000000
39 9.6000000000
40 9.8000000000
41 10.2000000000
46 10.4000000000
51 10.6000000000
59 10.8000000000
62 11.8000000000
66 12.0000000000
73 12.2000000000
75 12.4000000000
77 12.6000000000
86 12.8000000000
107 13.0000000000
139 13.2000000000
143 13.4000000000
144 13.6000000000
161 13.8000000000
166 14.0000000000
196 14.2000000000
203 14.4000000000
271 14.6000000000
291 14.8000000000
294 15.0000000000
310 15.2000000000
333 15.4000000000
396 15.6000000000
418 15.8000000000
442 16.0000000000
640 16.2000000000
1203 16.4000000000
100000 16.2000000000
evaluations raw_y
1 6.6000000000
4 6.8000000000
7 7.0000000000
8 7.2000000000
9 7.4000000000
26 7.6000000000
27 7.8000000000
31 8.4000000000
37 8.6000000000
39 9.0000000000
46 9.2000000000
48 9.4000000000
51 9.8000000000
65 10.2000000000
68 10.4000000000
88 10.6000000000
90 10.8000000000
98 11.0000000000
100 11.4000000000
134 11.8000000000
143 12.0000000000
151 12.4000000000
161 12.6000000000
193 12.8000000000
210 13.0000000000
214 13.2000000000
217 13.4000000000
218 13.6000000000
239 13.8000000000
248 14.0000000000
295 14.2000000000
330 14.4000000000
400 14.6000000000
534 14.8000000000
562 15.0000000000
592 15.2000000000
902 15.4000000000
985 15.6000000000
1386 15.8000000000
1640 16.0000000000
100000 15.8000000000
