evaluations raw_y
1 0.0000000000
2 1.0000000000
4 4.0000000000
10 11.0000000000
26 14.0000000000
27 15.0000000000
423 16.0000000000
429 18.0000000000
575 21.0000000000
696 22.0000000000
847 24.0000000000
890 26.0000000000
922 28.0000000000
1096 29.0000000000
1111 30.0000000000
1613 32.0000000000
1813 34.0000000000
1919 35.0000000000
2179 36.0000000000
2567 39.0000000000
2702 40.0000000000
2891 43.0000000000
3009 46.0000000000
3117 49.0000000000
3730 54.0000000000
3781 56.0000000000
3902 58.0000000000
3931 60.0000000000
4048 61.0000000000
4113 62.0000000000
4158 63.0000000000
4382 64.0000000000
4991 68.0000000000
5212 71.0000000000
5237 74.0000000000
5318 77.0000000000
5746 78.0000000000
5849 79.0000000000
6567 81.0000000000
6846 84.0000000000
6938 86.0000000000
6990 87.0000000000
7832 88.0000000000
8693 92.0000000000
9617 93.0000000000
9715 94.0000000000
9817 95.0000000000
9853 96.0000000000
9941 100.0000000000
100000 95.0000000000
evaluations raw_y
1 2.0000000000
104 5.0000000000
145 6.0000000000
242 8.0000000000
315 9.0000000000
784 10.0000000000
857 11.0000000000
932 15.0000000000
990 16.0000000000
1503 22.0000000000
1665 23.0000000000
1798 24.0000000000
1898 25.0000000000
1980 28.0000000000
2094 30.0000000000
2336 33.0000000000
2369 34.0000000000
2577 35.0000000000
2659 36.0000000000
2702 38.0000000000
2737 42.0000000000
3110 43.0000000000
3296 44.0000000000
3411 45.0000000000
3505 46.0000000000
3792 47.0000000000
3869 49.0000000000
3886 50.0000000000
3914 51.0000000000
4002 54.0000000000
4068 55.0000000000
4537 56.0000000000
4616 57.0000000000
4643 58.0000000000
4649 61.0000000000
4760 63.0000000000
4850 64.0000000000
5086 65.0000000000
5391 66.0000000000
5428 67.0000000000
5523 70.0000000000
5650 71.0000000000
5971 72.0000000000
6329 73.0000000000
6632 75.0000000000
6709 76.0000000000
6911 78.0000000000
7063 79.0000000000
7119 80.0000000000
8025 81.0000000000
9053 89.0000000000
9282 90.0000000000
9300 91.0000000000
9424 92.0000000000
9435 96.0000000000
9986 98.0000000000
10352 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
8 3.0000000000
22 4.0000000000
127 5.0000000000
140 6.0000000000
227 8.0000000000
240 10.0000000000
283 11.0000000000
530 13.0000000000
556 14.0000000000
630 15.0000000000
666 17.0000000000
854 19.0000000000
1007 25.0000000000
1098 26.0000000000
1148 27.0000000000
1562 29.0000000000
1609 30.0000000000
1651 33.0000000000
1796 35.0000000000
1853 38.0000000000
1875 44.0000000000
1903 48.0000000000
2020 49.0000000000
2565 50.0000000000
2683 51.0000000000
2925 53.0000000000
3169 56.0000000000
3275 59.0000000000
3363 60.0000000000
3423 62.0000000000
3819 64.0000000000
3827 66.0000000000
3985 67.0000000000
4126 68.0000000000
4560 69.0000000000
4565 70.0000000000
4614 73.0000000000
4861 79.0000000000
4979 81.0000000000
5081 83.0000000000
5343 85.0000000000
