evaluations raw_y
1 2275.0000000000
2 2849.0000000000
5 2868.0000000000
7 3136.0000000000
9 3367.0000000000
19 3629.0000000000
29 3696.0000000000
40 3805.0000000000
45 3835.0000000000
50 3853.0000000000
73 3899.0000000000
83 3939.0000000000
87 3944.0000000000
101 3968.0000000000
102 3987.0000000000
109 4121.0000000000
113 4134.0000000000
131 4177.0000000000
132 4187.0000000000
135 4215.0000000000
146 4260.0000000000
147 4263.0000000000
148 4264.0000000000
150 4279.0000000000
161 4313.0000000000
167 4327.0000000000
174 4330.0000000000
183 4343.0000000000
188 4361.0000000000
196 4365.0000000000
197 4378.0000000000
209 4412.0000000000
224 4420.0000000000
238 4444.0000000000
252 4503.0000000000
265 4559.0000000000
275 4580.0000000000
292 4585.0000000000
301 4596.0000000000
309 4639.0000000000
317 4643.0000000000
318 4646.0000000000
330 4708.0000000000
343 4769.0000000000
386 4789.0000000000
387 4800.0000000000
397 4832.0000000000
401 4834.0000000000
411 4836.0000000000
434 4846.0000000000
455 4872.0000000000
483 4899.0000000000
489 4963.0000000000
493 4988.0000000000
534 4990.0000000000
609 5002.0000000000
1022 5024.0000000000
1090 5044.0000000000
1171 5050.0000000000
100000 4973.0000000000
evaluations raw_y
1 1811.0000000000
2 2842.0000000000
6 2965.0000000000
10 2971.0000000000
16 3088.0000000000
18 3125.0000000000
25 3222.0000000000
31 3280.0000000000
34 3316.0000000000
38 3542.0000000000
52 3554.0000000000
55 3632.0000000000
65 3756.0000000000
73 3795.0000000000
93 3818.0000000000
96 3877.0000000000
102 3880.0000000000
108 3919.0000000000
123 3956.0000000000
126 4068.0000000000
147 4163.0000000000
159 4176.0000000000
160 4184.0000000000
165 4252.0000000000
197 4253.0000000000
210 4283.0000000000
229 4297.0000000000
232 4353.0000000000
239 4425.0000000000
244 4432.0000000000
255 4480.0000000000
258 4538.0000000000
280 4551.0000000000
305 4669.0000000000
321 4683.0000000000
351 4752.0000000000
369 4805.0000000000
378 4848.0000000000
402 4865.0000000000
433 4880.0000000000
467 4887.0000000000
525 4910.0000000000
661 4918.0000000000
663 4938.0000000000
754 4965.0000000000
770 4973.0000000000
807 5013.0000000000
1045 5024.0000000000
1050 5032.0000000000
