evaluations raw_y
1 1.3564839935
12 1.4889815366
13 1.5309246785
27 1.7844396859
29 1.7921146953
42 1.8532246108
58 1.9364833462
63 2.0210185934
75 2.0885547201
145 2.2583559169
150 2.3041474654
156 2.3386342376
193 2.5125628141
217 2.6343519494
479 2.6910656620
484 2.8968713789
510 2.9171528588
512 3.1446540881
1051 3.3200531208
1278 3.3288948069
1510 3.3557046980
3861 3.4013605442
3958 3.5260930889
12131 3.5460992908
12421 3.5561877667
12473 3.6075036075
12640 3.7481259370
28803 3.7936267071
35837 4.0000000000
53895 4.2444821732
54110 4.5703839122
100000 4.5703839122
evaluations raw_y
1 1.1399908801
4 1.1676786548
14 1.2444001991
16 1.3192612137
19 1.4037057833
24 1.4148273911
25 1.4784151390
29 1.5309246785
30 1.6857720836
31 1.6949152542
32 1.7018379850
33 1.7277125086
39 1.9098548510
43 2.0781379884
49 2.1385799829
79 2.1720243267
84 2.3386342376
178 2.3607176582
332 2.3651844844
457 2.3969319271
469 2.4295432459
567 2.5125628141
587 2.5176233635
613 2.5329280648
614 2.5484199796
675 2.6968716289
677 2.9585798817
726 2.9655990510
767 3.0599755202
983 3.0674846626
985 3.0750307503
1392 3.2425421530
1789 3.4867503487
2034 3.5360678925
100000 2.9446407538
evaluations raw_y
1 0.8231807705
2 1.0028078620
3 1.0421008754
6 1.1753643630
10 1.4212620807
14 1.4766686356
18 1.4801657786
20 1.6995241332
31 1.8102824041
35 1.8155410312
43 1.9011406844
66 1.9069412662
76 2.0080321285
83 2.0408163265
115 2.0920502092
117 2.2624434389
130 2.3786869648
149 2.4679170780
270 2.5380710660
296 2.5853154085
298 2.9726516052
709 3.0229746070
1170 3.0450669915
1176 3.0978934325
1202 3.2010243278
1256 3.2765399738
1272 3.3025099075
8612 3.3738191633
8734 3.4770514604
8794 3.5260930889
21315 3.8284839204
24105 3.8520801233
24115 4.2881646655
24247 4.3029259897
24274 4.3177892919
26285 4.3478260870
49229 4.4091710758
82481 4.5703839122
100000 3.0599755202
evaluations raw_y
1 1.0940919037
7 1.2094823416
10 1.3462574044
12 1.4766686356
15 1.5537600994
17 1.5994881638
22 1.6097875080
23 1.6160310278
24 1.6789791807
57 1.8181818182
60 1.8477457502
80 1.9245573518
98 2.0955574183
100 2.1132713440
102 2.1834061135
114 2.2502250225
120 2.4108003857
199 2.7085590466
267 2.7382256298
292 2.8702640643
311 3.1847133758
343 3.3377837116
351 3.5360678925
364 3.5460992908
411 3.6390101892
447 3.8051750381
505 4.0387722132
3031 4.0650406504
3211 4.1322314050
3445 4.3782837128
3547 4.4247787611
3561 4.6382189239
100000 3.2938076416
evaluations raw_y
1 0.8077544426
2 1.0883761428
3 1.0960105217
4 1.1452130096
10 1.1967448540
15 1.2106537530
16 1.3220518244
17 1.3506212858
25 1.3609145346
34 1.3912075682
50 1.4293882218
52 1.8024513338
55 1.8754688672
66 1.8953752843
72 1.9762845850
86 2.1061499579
89 2.2104332449
100 2.2222222222
137 2.2502250225
155 2.3386342376
160 2.4342745862
163 2.5746652935
183 2.7502750275
193 2.7995520717
245 2.8968713789
256 3.1847133758
480 3.2425421530
940 3.4674063800
952 3.7707390649
1088 3.8051750381
2069 4.0128410915
2455 4.1322314050
100000 4.1322314050
evaluations raw_y
1 1.1600928074
3 1.2748597654
7 1.4611338399
9 1.4731879788
10 1.6160310278
15 1.7253278123
19 1.7895490336
23 1.7921146953
29 1.8925056775
33 1.9731649566
35 2.0955574183
64 2.1061499579
82 2.2956841139
114 2.5227043391
131 2.7746947836
147 3.0750307503
245 3.1289111389
290 3.2010243278
478 3.2092426187
555 3.4482758621
783 3.5161744023
929 3.7821482602
1037 4.2301184433
1170 4.3630017452
1288 4.4722719141
100000 2.9446407538
evaluations raw_y
1 0.9502090460
2 1.3041210224
7 1.3220518244
15 1.3881177124
19 1.5752993069
22 1.6244314490
24 1.6286644951
27 1.7018379850
29 1.7494751575
32 1.8234865062
47 1.9040365575
48 1.9920318725
61 2.1385799829
65 2.1607605877
107 2.1795989538
135 2.3041474654
207 2.4061597690
244 2.5278058645
301 2.7932960894
334 2.8636884307
571 3.1289111389
580 3.2509752926
928 3.2594524120
1074 3.3025099075
1086 3.4770514604
1397 3.4867503487
1476 3.5360678925
14031 3.5460992908
14498 3.5561877667
14688 3.7147102526
56705 3.7936267071
56860 3.8759689922
57026 3.9619651347
100000 3.9619651347
evaluations raw_y
1 1.5537600994
4 1.5913430936
8 1.8024513338
9 2.0678246485
16 2.2421524664
38 2.4201355276
54 2.6232948583
93 2.6511134677
135 2.6910656620
177 2.7442371021
181 2.7624309392
202 2.9239766082
216 2.9868578256
233 3.0599755202
249 3.1133250311
303 3.1367628607
324 3.2258064516
402 3.2851511170
432 3.4013605442
7209 3.4387895461
7243 3.5063113604
7436 3.6603221083
7444 3.7369207773
58459 3.7481259370
64396 3.8520801233
64436 3.8880248834
64513 4.0518638574
64734 4.0916530278
79453 4.1459369818
79538 4.1597337770
100000 3.0902348578
evaluations raw_y
1 1.1106175033
3 1.1135857461
6 1.2556504269
10 1.2960082945
12 1.4819205691
15 1.5499070056
18 1.7470300489
23 1.8261504748
24 1.8839487566
26 1.9157088123
28 1.9794140934
64 2.2421524664
88 2.6455026455
100 2.8506271380
192 3.0376670717
244 3.0902348578
294 3.2175032175
340 3.3288948069
421 3.6284470247
537 3.6603221083
658 3.9246467818
12393 3.9745627981
12544 4.0916530278
30393 4.1322314050
30403 4.2016806723
100000 4.2016806723
evaluations raw_y
1 0.8183306056
2 0.9854158455
3 1.0369141435
7 1.1037527594
14 1.3137151865
22 1.3912075682
26 1.4277555682
28 1.4819205691
30 1.5852885225
32 1.6972165648
40 1.7277125086
51 1.7593244194
58 1.8839487566
63 1.9952114924
79 2.1385799829
90 2.4061597690
105 2.6123301985
115 2.6288117771
126 2.7870680045
194 2.8312570781
207 2.9446407538
245 2.9655990510
279 3.1367628607
312 3.2010243278
337 3.2092426187
394 3.2851511170
467 3.2938076416
503 3.3921302578
10126 3.6075036075
100000 3.1289111389
