evaluations raw_y
1 -1263.0000000000
7 -1224.0000000000
11 -1185.0000000000
12 -1156.0000000000
14 -1117.0000000000
18 -1107.0000000000
25 -1078.0000000000
27 -1049.0000000000
29 -1010.0000000000
31 -971.0000000000
38 -932.0000000000
42 -893.0000000000
47 -864.0000000000
51 -854.0000000000
53 -815.0000000000
57 -786.0000000000
63 -747.0000000000
67 -679.0000000000
69 -650.0000000000
72 -611.0000000000
86 -553.0000000000
92 -514.0000000000
104 -475.0000000000
105 -436.0000000000
108 -407.0000000000
115 -378.0000000000
121 -359.0000000000
137 -340.0000000000
141 -311.0000000000
151 -272.0000000000
157 -233.0000000000
171 -204.0000000000
226 -194.0000000000
228 -165.0000000000
229 -117.0000000000
240 -98.0000000000
246 -70.0000000000
250 -50.0000000000
254 -31.0000000000
275 -22.0000000000
316 -21.0000000000
319 -12.0000000000
399 -3.0000000000
444 6.0000000000
448 7.0000000000
780 8.0000000000
7859 9.0000000000
85705 10.0000000000
100000 -29.0000000000
evaluations raw_y
1 -1361.0000000000
3 -1322.0000000000
4 -1283.0000000000
5 -1244.0000000000
6 -1215.0000000000
10 -1186.0000000000
13 -1147.0000000000
17 -1108.0000000000
27 -1069.0000000000
29 -1040.0000000000
35 -972.0000000000
55 -865.0000000000
58 -826.0000000000
60 -797.0000000000
61 -768.0000000000
66 -729.0000000000
85 -690.0000000000
87 -680.0000000000
97 -670.0000000000
102 -631.0000000000
104 -534.0000000000
105 -476.0000000000
107 -418.0000000000
109 -389.0000000000
114 -370.0000000000
119 -351.0000000000
130 -332.0000000000
146 -322.0000000000
160 -283.0000000000
178 -273.0000000000
202 -244.0000000000
222 -225.0000000000
226 -206.0000000000
227 -177.0000000000
246 -167.0000000000
284 -138.0000000000
286 -109.0000000000
294 -90.0000000000
375 -70.0000000000
393 -51.0000000000
396 -41.0000000000
397 -32.0000000000
399 -13.0000000000
400 -4.0000000000
420 -3.0000000000
449 -2.0000000000
521 7.0000000000
574 8.0000000000
56259 9.0000000000
100000 9.0000000000
