evaluations raw_y
1 5.4000000000
2 6.4000000000
3 7.8000000000
6 8.2000000000
18 8.8000000000
38 9.8000000000
69 10.4000000000
137 10.8000000000
214 11.0000000000
240 11.6000000000
254 11.8000000000
273 12.2000000000
292 12.4000000000
372 12.6000000000
382 12.8000000000
397 13.0000000000
422 13.2000000000
435 13.6000000000
458 14.0000000000
578 14.2000000000
618 14.4000000000
700 14.6000000000
743 14.8000000000
779 15.0000000000
891 15.2000000000
928 15.4000000000
1134 15.6000000000
1219 15.8000000000
1293 16.0000000000
1346 16.2000000000
1463 16.4000000000
100000 16.4000000000
evaluations raw_y
1 5.4000000000
2 6.4000000000
8 6.6000000000
10 7.6000000000
11 9.0000000000
61 9.2000000000
90 9.6000000000
134 10.0000000000
180 10.8000000000
275 11.0000000000
276 11.2000000000
323 11.6000000000
390 11.8000000000
414 12.0000000000
462 12.2000000000
516 12.4000000000
522 12.6000000000
528 12.8000000000
533 13.0000000000
566 13.2000000000
614 13.4000000000
617 13.6000000000
683 13.8000000000
793 14.0000000000
830 14.2000000000
841 14.4000000000
919 14.6000000000
930 14.8000000000
1083 15.0000000000
1411 15.2000000000
1456 15.4000000000
1598 15.6000000000
1688 15.8000000000
1703 16.0000000000
1910 16.2000000000
2444 16.4000000000
100000 16.2000000000
evaluations raw_y
1 6.2000000000
2 8.0000000000
23 9.2000000000
53 9.6000000000
59 11.2000000000
201 11.6000000000
232 12.2000000000
286 12.4000000000
328 12.6000000000
336 12.8000000000
363 13.0000000000
419 13.2000000000
433 13.6000000000
480 13.8000000000
495 14.0000000000
526 14.2000000000
632 14.6000000000
679 14.8000000000
767 15.0000000000
904 15.2000000000
911 15.4000000000
991 15.6000000000
1030 15.8000000000
1069 16.0000000000
1088 16.2000000000
1286 16.4000000000
1352 16.6000000000
1510 16.8000000000
100000 16.8000000000
evaluations raw_y
1 8.2000000000
10 9.4000000000
88 10.0000000000
92 10.6000000000
207 10.8000000000
227 11.4000000000
266 11.8000000000
273 12.4000000000
383 12.8000000000
399 13.2000000000
453 13.4000000000
475 13.6000000000
502 14.0000000000
529 14.4000000000
550 14.8000000000
556 15.0000000000
639 15.2000000000
681 15.8000000000
758 16.0000000000
842 16.2000000000
1040 16.4000000000
1107 16.6000000000
1141 16.8000000000
1223 17.0000000000
1362 17.2000000000
100000 17.0000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
3 7.8000000000
7 8.4000000000
17 8.8000000000
35 9.0000000000
76 10.2000000000
172 10.8000000000
247 12.2000000000
314 12.8000000000
396 13.4000000000
458 13.6000000000
512 13.8000000000
528 14.2000000000
657 14.4000000000
731 14.6000000000
734 14.8000000000
817 15.0000000000
894 15.2000000000
923 15.4000000000
955 15.6000000000
1025 15.8000000000
1031 16.0000000000
1258 16.2000000000
1277 16.4000000000
1552 16.6000000000
1897 16.8000000000
100000 16.8000000000
evaluations raw_y
1 8.8000000000
8 9.2000000000
20 10.2000000000
28 10.6000000000
125 11.2000000000
202 11.4000000000
220 11.6000000000
258 12.0000000000
295 12.4000000000
325 12.8000000000
403 13.2000000000
521 13.4000000000
555 13.6000000000
588 13.8000000000
669 14.0000000000
728 14.2000000000
737 14.4000000000
804 14.6000000000
884 15.0000000000
927 15.2000000000
1021 15.4000000000
1026 15.6000000000
1199 15.8000000000
1297 16.0000000000
1567 16.2000000000
1634 16.4000000000
100000 16.4000000000
evaluations raw_y
1 7.2000000000
4 7.6000000000
5 8.4000000000
12 9.0000000000
35 9.2000000000
37 9.8000000000
44 10.0000000000
119 11.2000000000
180 11.6000000000
267 12.2000000000
302 13.6000000000
418 13.8000000000
465 14.0000000000
541 14.2000000000
613 14.4000000000
688 14.6000000000
774 14.8000000000
901 15.0000000000
902 15.2000000000
1061 15.4000000000
1086 15.6000000000
1217 15.8000000000
1259 16.0000000000
1307 16.2000000000
1379 16.4000000000
1466 16.6000000000
1505 16.8000000000
100000 16.4000000000
evaluations raw_y
1 6.2000000000
3 6.6000000000
4 8.0000000000
25 8.6000000000
58 9.0000000000
86 9.2000000000
110 9.4000000000
147 10.0000000000
149 10.6000000000
187 10.8000000000
188 11.2000000000
236 11.4000000000
289 12.4000000000
345 12.6000000000
367 12.8000000000
393 13.0000000000
423 13.2000000000
476 13.4000000000
481 13.6000000000
563 13.8000000000
586 14.0000000000
730 14.4000000000
794 14.6000000000
841 14.8000000000
887 15.0000000000
981 15.2000000000
993 15.4000000000
1063 15.6000000000
1181 16.0000000000
1383 16.2000000000
1561 16.4000000000
100000 16.2000000000
evaluations raw_y
1 6.0000000000
2 6.8000000000
3 7.6000000000
8 7.8000000000
10 8.6000000000
25 9.2000000000
54 10.0000000000
140 10.2000000000
151 10.4000000000
171 10.8000000000
190 11.0000000000
213 12.2000000000
309 13.0000000000
347 13.2000000000
404 13.6000000000
436 13.8000000000
472 14.0000000000
523 14.2000000000
553 14.4000000000
654 14.6000000000
683 14.8000000000
797 15.0000000000
846 15.2000000000
970 15.4000000000
1011 15.6000000000
1141 16.0000000000
1412 16.2000000000
1735 16.4000000000
1870 16.6000000000
100000 16.6000000000
evaluations raw_y
1 8.4000000000
14 9.4000000000
37 10.2000000000
82 10.6000000000
235 10.8000000000
236 11.0000000000
259 11.2000000000
289 11.8000000000
312 12.2000000000
349 12.6000000000
394 12.8000000000
432 13.0000000000
441 13.2000000000
494 13.4000000000
501 13.6000000000
586 13.8000000000
625 14.2000000000
729 14.4000000000
838 14.6000000000
842 14.8000000000
929 15.0000000000
999 15.2000000000
1077 15.4000000000
1104 15.6000000000
1146 16.0000000000
1321 16.2000000000
1416 16.4000000000
1728 16.6000000000
100000 16.4000000000
