evaluations raw_y
1 -0.5320858520
4 -0.5306016727
9 -0.5304966326
11 -0.5089653353
14 -0.5034212327
18 -0.4945324239
26 -0.4892127881
29 -0.4879722545
30 -0.4764348411
35 -0.4699095709
45 -0.4620967530
49 -0.4612949120
61 -0.4609633380
70 -0.4591270988
73 -0.4586947982
75 -0.4534366889
80 -0.4510763587
86 -0.4423320005
87 -0.4255153142
90 -0.4187397103
92 -0.4170309018
103 -0.4163179908
109 -0.4150464825
112 -0.4115837238
116 -0.4097970809
125 -0.3992740823
130 -0.3914612645
135 -0.3883442339
150 -0.3871518038
157 -0.3793140779
166 -0.3774899377
179 -0.3703720818
185 -0.3640833834
189 -0.3574380581
196 -0.3526265267
202 -0.3503506911
224 -0.3488774109
234 -0.3471951859
249 -0.3466253020
265 -0.3460955593
292 -0.3442926068
300 -0.3428790104
328 -0.3292593848
344 -0.3280188512
381 -0.3234745188
405 -0.3217636233
414 -0.3210226059
425 -0.3175823167
436 -0.3137941880
492 -0.3100300951
539 -0.3062105377
621 -0.3052094973
622 -0.3030675157
665 -0.3017960074
703 -0.3011794251
9238 -0.3005106164
9401 -0.2982311680
27060 -0.2963924831
35811 -0.2950664852
100000 -0.2950664852
evaluations raw_y
1 -0.5001079620
2 -0.4765228595
11 -0.4678956535
13 -0.4661216570
14 -0.4558867705
20 -0.4418092775
21 -0.4343805409
35 -0.4335674032
39 -0.4286141407
43 -0.4269319158
46 -0.4252094851
48 -0.4249485679
60 -0.4231456155
65 -0.4209872762
68 -0.4207933180
82 -0.4184329878
83 -0.4157310848
97 -0.4142570902
101 -0.4067191886
102 -0.4018056192
106 -0.3985553983
113 -0.3943465080
117 -0.3939456940
127 -0.3904829353
133 -0.3897868845
152 -0.3885944543
157 -0.3882916982
176 -0.3833921177
182 -0.3813053869
191 -0.3805035459
200 -0.3774108388
213 -0.3757463987
214 -0.3750053813
218 -0.3673261892
219 -0.3672027986
227 -0.3666383014
245 -0.3604736397
251 -0.3582157098
274 -0.3544605839
336 -0.3488683177
339 -0.3462141877
353 -0.3427738985
356 -0.3425817171
360 -0.3332896030
451 -0.3317680647
485 -0.3307590528
487 -0.3284762733
572 -0.3259141981
645 -0.3215490124
734 -0.3197248722
796 -0.3183840216
797 -0.3137535395
943 -0.3125232493
976 -0.3109922729
1043 -0.3105121529
1057 -0.3097711355
5293 -0.3084109379
5325 -0.3036216261
5413 -0.3030517422
5718 -0.3011807229
10442 -0.2998631101
10637 -0.2998547250
29538 -0.2982661236
30535 -0.2981397181
30639 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.5462443936
2 -0.4881585730
4 -0.4863871940
8 -0.4850629903
16 -0.4803263942
17 -0.4746835958
20 -0.4590581422
22 -0.4546407809
27 -0.4538997635
45 -0.4509159640
46 -0.4488321519
48 -0.4434113209
50 -0.4418707708
54 -0.4372877098
57 -0.4348215743
60 -0.4343414543
62 -0.4327586415
65 -0.4324168124
69 -0.4306212264
70 -0.4275735615
71 -0.4249850776
73 -0.4202116901
76 -0.4169614693
81 -0.4138238571
87 -0.4086563226
91 -0.4068200835
104 -0.3987975369
108 -0.3925933782
119 -0.3922454211
134 -0.3878934399
139 -0.3867010098
141 -0.3790218176
142 -0.3787341343
154 -0.3628722745
155 -0.3585505430
179 -0.3563607599
184 -0.3523076788
185 -0.3488673896
189 -0.3488590045
190 -0.3464986743
206 -0.3386858565
256 -0.3374360071
274 -0.3320889582
319 -0.3294348281
327 -0.3259720694
337 -0.3211605380
389 -0.3174390744
437 -0.3117410353
528 -0.3105005017
619 -0.3098839194
646 -0.3035958672
1077 -0.3001181389
13731 -0.2965938468
14687 -0.2959649570
25368 -0.2946389591
45531 -0.2928002742
100000 -0.3033232728
evaluations raw_y
1 -0.5028750765
3 -0.5020467649
4 -0.4909009760
6 -0.4878082689
7 -0.4874664398
9 -0.4864574279
10 -0.4802927662
15 -0.4677127379
18 -0.4653524078
21 -0.4592556608
22 -0.4545615217
24 -0.4526905024
25 -0.4476992389
40 -0.4399601651
46 -0.4336721129
54 -0.4325889520
56 -0.4322573780
66 -0.4291465888
71 -0.4132539845
82 -0.4057736188
84 -0.3983448821
99 -0.3914062348
118 -0.3852020761
138 -0.3829226277
149 -0.3823527437
162 -0.3634612459
163 -0.3622207122
174 -0.3609904221
196 -0.3563642273
227 -0.3551717972
246 -0.3441429343
253 -0.3427631413
286 -0.3421573296
297 -0.3418774137
321 -0.3392232837
332 -0.3362281753
368 -0.3329028179
369 -0.3231823810
371 -0.3217167716
374 -0.3217083865
426 -0.3209302949
430 -0.3200402021
461 -0.3177324517
521 -0.3171158694
529 -0.3117962336
537 -0.3103222390
654 -0.3096686739
689 -0.3093370999
3483 -0.3058128078
4192 -0.3019347353
5078 -0.3013058455
23855 -0.2978281173
49541 -0.2948798601
65892 -0.2935538622
100000 -0.3035408048
evaluations raw_y
1 -0.5459410848
2 -0.5221220604
3 -0.5167514392
10 -0.5053427623
12 -0.5046154464
15 -0.5012626763
17 -0.4991401437
18 -0.4942651374
20 -0.4895714708
22 -0.4882509082
25 -0.4879392332
31 -0.4710898345
35 -0.4698595443
37 -0.4675800959
38 -0.4625684683
40 -0.4595049611
43 -0.4574633505
45 -0.4568742541
46 -0.4434417823
48 -0.4385102837
50 -0.4296310894
53 -0.4275443586
55 -0.4231791728
64 -0.4189123161
66 -0.4179690816
73 -0.4167159780
78 -0.4150050825
79 -0.4145904371
80 -0.4083862784
93 -0.4082812383
95 -0.4015095076
97 -0.3979274295
103 -0.3931126738
117 -0.3916861921
119 -0.3914200522
128 -0.3901795186
130 -0.3848598828
154 -0.3822978076
156 -0.3799507952
165 -0.3791489542
190 -0.3753421141
204 -0.3651649995
211 -0.3606511119
228 -0.3500772738
237 -0.3397156136
272 -0.3393840396
311 -0.3287878259
318 -0.3269168066
377 -0.3263469227
381 -0.3257303404
395 -0.3206695585
498 -0.3198070475
528 -0.3095702550
545 -0.3042110593
549 -0.3039060697
596 -0.3038976846
698 -0.3032016338
707 -0.3027215138
1296 -0.3012475192
8592 -0.2977232271
13104 -0.2970943373
15550 -0.2941460802
50530 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.5230976162
3 -0.5220066581
6 -0.5154925995
8 -0.5105611010
9 -0.5089593878
13 -0.5042651170
14 -0.5004148932
15 -0.4879795250
16 -0.4823782629
18 -0.4721433764
21 -0.4667525941
22 -0.4600542308
24 -0.4577947713
28 -0.4437105385
35 -0.4334488000
41 -0.4301449613
53 -0.4277823404
55 -0.4139302352
60 -0.4009601611
61 -0.3976090256
70 -0.3927974941
73 -0.3873065875
83 -0.3849484619
89 -0.3815081727
114 -0.3742877263
121 -0.3649579985
125 -0.3646780827
128 -0.3640615004
136 -0.3593820388
143 -0.3586969947
147 -0.3551187014
158 -0.3501753387
161 -0.3468406297
177 -0.3460783320
186 -0.3443069530
188 -0.3430461570
219 -0.3429890941
223 -0.3429096256
245 -0.3405470047
246 -0.3396844937
249 -0.3390180173
270 -0.3252666081
279 -0.3242575963
305 -0.3238429509
308 -0.3230648593
414 -0.3218345691
464 -0.3192758077
515 -0.3186592255
525 -0.3170102922
655 -0.3155190828
714 -0.3137161304
772 -0.3135810222
856 -0.3093762370
952 -0.3072634861
1108 -0.3060710559
1433 -0.3053750051
2878 -0.3051854220
2959 -0.3018507130
5108 -0.3005247151
12372 -0.3004069076
100000 -0.3015993377
evaluations raw_y
