evaluations raw_y
1 43.0000000000
2 51.0000000000
6 59.0000000000
18 60.0000000000
24 61.0000000000
34 66.0000000000
146 67.0000000000
156 70.0000000000
180 73.0000000000
225 74.0000000000
226 75.0000000000
270 76.0000000000
274 81.0000000000
398 83.0000000000
430 84.0000000000
462 85.0000000000
493 86.0000000000
535 87.0000000000
599 89.0000000000
644 91.0000000000
745 92.0000000000
807 93.0000000000
993 94.0000000000
1075 95.0000000000
1099 96.0000000000
1175 97.0000000000
1262 98.0000000000
1430 99.0000000000
1506 100.0000000000
100000 98.0000000000
evaluations raw_y
1 46.0000000000
2 48.0000000000
4 53.0000000000
13 54.0000000000
14 57.0000000000
17 58.0000000000
29 59.0000000000
43 64.0000000000
61 67.0000000000
99 68.0000000000
105 70.0000000000
160 75.0000000000
195 77.0000000000
291 80.0000000000
316 81.0000000000
344 83.0000000000
355 84.0000000000
369 85.0000000000
409 86.0000000000
467 88.0000000000
520 89.0000000000
523 91.0000000000
562 92.0000000000
633 93.0000000000
694 94.0000000000
803 95.0000000000
865 96.0000000000
969 97.0000000000
1062 98.0000000000
1147 99.0000000000
1466 100.0000000000
100000 99.0000000000
evaluations raw_y
1 44.0000000000
2 52.0000000000
3 60.0000000000
40 62.0000000000
46 63.0000000000
87 65.0000000000
130 67.0000000000
138 74.0000000000
201 75.0000000000
226 78.0000000000
236 79.0000000000
289 80.0000000000
314 82.0000000000
332 85.0000000000
389 86.0000000000
454 87.0000000000
459 88.0000000000
480 89.0000000000
500 90.0000000000
592 92.0000000000
703 93.0000000000
743 94.0000000000
786 95.0000000000
856 96.0000000000
947 97.0000000000
1039 98.0000000000
1246 99.0000000000
1429 100.0000000000
100000 99.0000000000
evaluations raw_y
1 60.0000000000
17 63.0000000000
22 66.0000000000
103 67.0000000000
110 68.0000000000
119 72.0000000000
195 73.0000000000
209 75.0000000000
222 76.0000000000
262 77.0000000000
264 78.0000000000
303 79.0000000000
366 82.0000000000
429 83.0000000000
454 84.0000000000
468 85.0000000000
493 86.0000000000
514 87.0000000000
551 88.0000000000
566 89.0000000000
605 90.0000000000
618 91.0000000000
709 92.0000000000
767 94.0000000000
874 95.0000000000
931 96.0000000000
985 97.0000000000
1095 98.0000000000
1306 99.0000000000
2312 100.0000000000
100000 98.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
8 55.0000000000
11 57.0000000000
25 63.0000000000
32 67.0000000000
119 70.0000000000
126 72.0000000000
187 74.0000000000
224 77.0000000000
281 79.0000000000
298 80.0000000000
338 82.0000000000
366 86.0000000000
463 87.0000000000
472 88.0000000000
515 89.0000000000
563 90.0000000000
574 91.0000000000
614 93.0000000000
728 94.0000000000
840 95.0000000000
937 96.0000000000
1014 97.0000000000
1142 99.0000000000
1176 100.0000000000
100000 100.0000000000
evaluations raw_y
1 54.0000000000
4 58.0000000000
10 60.0000000000
19 61.0000000000
62 62.0000000000
68 63.0000000000
69 65.0000000000
96 69.0000000000
157 70.0000000000
180 71.0000000000
183 74.0000000000
235 75.0000000000
239 78.0000000000
268 82.0000000000
316 85.0000000000
410 86.0000000000
419 91.0000000000
492 92.0000000000
557 93.0000000000
586 94.0000000000
695 95.0000000000
708 96.0000000000
765 97.0000000000
957 98.0000000000
1023 99.0000000000
1534 100.0000000000
100000 100.0000000000
evaluations raw_y
1 52.0000000000
5 54.0000000000
14 56.0000000000
19 61.0000000000
75 62.0000000000
102 63.0000000000
121 65.0000000000
136 68.0000000000
148 74.0000000000
175 79.0000000000
315 81.0000000000
359 82.0000000000
370 83.0000000000
439 84.0000000000
447 85.0000000000
508 87.0000000000
557 88.0000000000
594 89.0000000000
652 90.0000000000
707 91.0000000000
782 92.0000000000
840 93.0000000000
917 94.0000000000
948 95.0000000000
1045 97.0000000000
1128 98.0000000000
1579 99.0000000000
1638 100.0000000000
100000 99.0000000000
evaluations raw_y
1 53.0000000000
4 54.0000000000
13 55.0000000000
22 59.0000000000
54 65.0000000000
129 67.0000000000
137 70.0000000000
218 71.0000000000
240 75.0000000000
254 76.0000000000
327 81.0000000000
347 84.0000000000
459 85.0000000000
460 86.0000000000
531 87.0000000000
532 88.0000000000
573 89.0000000000
602 92.0000000000
644 93.0000000000
692 94.0000000000
825 96.0000000000
876 97.0000000000
945 98.0000000000
975 99.0000000000
1396 100.0000000000
100000 100.0000000000
evaluations raw_y
1 43.0000000000
3 45.0000000000
4 52.0000000000
6 57.0000000000
9 58.0000000000
21 60.0000000000
60 61.0000000000
89 62.0000000000
112 65.0000000000
159 67.0000000000
160 68.0000000000
166 71.0000000000
197 73.0000000000
207 75.0000000000
234 77.0000000000
250 78.0000000000
306 79.0000000000
323 80.0000000000
354 81.0000000000
387 82.0000000000
407 83.0000000000
431 87.0000000000
502 89.0000000000
558 91.0000000000
596 92.0000000000
683 93.0000000000
760 94.0000000000
790 95.0000000000
807 96.0000000000
881 97.0000000000
1056 98.0000000000
1307 99.0000000000
1579 100.0000000000
100000 100.0000000000
evaluations raw_y
1 44.0000000000
2 54.0000000000
6 60.0000000000
42 63.0000000000
65 69.0000000000
167 71.0000000000
189 74.0000000000
218 75.0000000000
224 77.0000000000
285 78.0000000000
331 79.0000000000
334 81.0000000000
363 84.0000000000
375 85.0000000000
433 86.0000000000
437 87.0000000000
453 88.0000000000
473 89.0000000000
549 90.0000000000
584 93.0000000000
698 95.0000000000
813 96.0000000000
952 97.0000000000
1052 98.0000000000
1217 99.0000000000
1392 100.0000000000
100000 98.0000000000
