evaluations raw_y
1 0.0000000000
2 3.0000000000
12 6.0000000000
32 7.0000000000
68 8.0000000000
74 9.0000000000
107 13.0000000000
134 14.0000000000
141 16.0000000000
178 20.0000000000
222 22.0000000000
336 28.0000000000
542 30.0000000000
719 31.0000000000
735 32.0000000000
896 33.0000000000
1053 36.0000000000
1221 37.0000000000
1282 39.0000000000
1551 40.0000000000
1688 41.0000000000
1811 42.0000000000
2133 44.0000000000
2463 46.0000000000
2731 49.0000000000
2835 53.0000000000
3142 54.0000000000
3185 55.0000000000
3737 59.0000000000
4045 63.0000000000
4474 64.0000000000
4551 65.0000000000
5055 69.0000000000
5303 70.0000000000
5328 71.0000000000
5388 72.0000000000
5661 73.0000000000
6018 77.0000000000
6061 79.0000000000
6670 81.0000000000
6732 82.0000000000
7074 84.0000000000
7167 89.0000000000
7521 90.0000000000
7537 92.0000000000
7544 94.0000000000
7803 95.0000000000
7924 96.0000000000
8006 97.0000000000
8060 100.0000000000
100000 3.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 2.0000000000
34 4.0000000000
64 7.0000000000
111 8.0000000000
127 9.0000000000
156 11.0000000000
208 12.0000000000
260 14.0000000000
266 15.0000000000
307 16.0000000000
322 17.0000000000
687 18.0000000000
766 20.0000000000
782 21.0000000000
964 22.0000000000
1069 25.0000000000
1123 26.0000000000
1363 29.0000000000
1438 31.0000000000
1445 32.0000000000
1616 33.0000000000
1757 35.0000000000
1777 36.0000000000
1793 40.0000000000
1937 41.0000000000
1958 42.0000000000
2211 46.0000000000
2225 50.0000000000
2313 51.0000000000
2636 54.0000000000
3061 55.0000000000
3412 60.0000000000
3452 61.0000000000
3491 64.0000000000
3627 67.0000000000
3771 69.0000000000
4048 70.0000000000
4639 71.0000000000
4991 74.0000000000
5198 78.0000000000
5413 82.0000000000
5553 84.0000000000
5651 85.0000000000
5782 86.0000000000
5821 87.0000000000
5906 91.0000000000
7009 93.0000000000
7248 94.0000000000
7561 96.0000000000
7922 100.0000000000
100000 16.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
5 5.0000000000
62 8.0000000000
87 10.0000000000
120 14.0000000000
155 15.0000000000
245 16.0000000000
271 17.0000000000
285 18.0000000000
299 20.0000000000
510 21.0000000000
639 22.0000000000
686 24.0000000000
707 25.0000000000
918 27.0000000000
1051 30.0000000000
1202 35.0000000000
1227 37.0000000000
1422 42.0000000000
1519 43.0000000000
1709 46.0000000000
1726 48.0000000000
2118 50.0000000000
2202 53.0000000000
2442 54.0000000000
2592 55.0000000000
2732 56.0000000000
3055 60.0000000000
3101 61.0000000000
3373 64.0000000000
3813 65.0000000000
3999 66.0000000000
4160 68.0000000000
4176 69.0000000000
4235 70.0000000000
4358 71.0000000000
4562 77.0000000000
4684 79.0000000000
5087 80.0000000000
5405 81.0000000000
5839 84.0000000000
6023 91.0000000000
6234 94.0000000000
7344 97.0000000000
7357 98.0000000000
7670 99.0000000000
8093 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
10 2.0000000000
11 6.0000000000
50 9.0000000000
110 15.0000000000
121 16.0000000000
203 18.0000000000
290 19.0000000000
365 20.0000000000
427 22.0000000000
507 23.0000000000
573 26.0000000000
804 27.0000000000
831 29.0000000000
1396 31.0000000000
1449 32.0000000000
1667 33.0000000000
1684 37.0000000000
1938 39.0000000000
1953 41.0000000000
2019 44.0000000000
2274 45.0000000000
2313 46.0000000000
2373 47.0000000000
2808 49.0000000000
3103 50.0000000000
3284 51.0000000000
3430 54.0000000000
3643 56.0000000000
3767 57.0000000000
3782 58.0000000000
4118 62.0000000000
4194 64.0000000000
4450 66.0000000000
4948 68.0000000000
5013 70.0000000000
5024 71.0000000000
5335 72.0000000000
5675 76.0000000000
5864 79.0000000000
5875 80.0000000000
5912 87.0000000000
7579 88.0000000000
8099 89.0000000000
9186 90.0000000000
9413 91.0000000000
9426 92.0000000000
9443 98.0000000000
10007 99.0000000000
10048 100.0000000000
100000 100.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
5 4.0000000000
36 5.0000000000
63 6.0000000000
104 8.0000000000
132 9.0000000000
186 12.0000000000
287 16.0000000000
332 17.0000000000
403 18.0000000000
620 21.0000000000
662 22.0000000000
764 23.0000000000
793 24.0000000000
950 26.0000000000
1019 28.0000000000
1049 33.0000000000
1293 39.0000000000
1805 40.0000000000
2367 42.0000000000
2416 44.0000000000
2460 45.0000000000
2487 48.0000000000
2892 51.0000000000
2934 53.0000000000
3106 54.0000000000
3181 63.0000000000
3284 65.0000000000
3473 66.0000000000
3823 67.0000000000
4094 70.0000000000
4324 72.0000000000
4341 74.0000000000
5005 77.0000000000
5078 78.0000000000
5573 79.0000000000
5900 80.0000000000
5976 83.0000000000
6410 85.0000000000
6553 88.0000000000
6878 92.0000000000
7266 93.0000000000
7848 94.0000000000
8245 97.0000000000
8394 98.0000000000
9349 99.0000000000
9418 100.0000000000
100000 25.0000000000
evaluations raw_y
1 9.0000000000
138 11.0000000000
213 15.0000000000
279 16.0000000000
298 18.0000000000
421 20.0000000000
634 22.0000000000
650 23.0000000000
839 24.0000000000
1154 29.0000000000
1732 33.0000000000
1748 36.0000000000
1921 37.0000000000
1991 41.0000000000
2242 43.0000000000
2262 46.0000000000
2706 47.0000000000
2748 48.0000000000
2796 49.0000000000
2971 50.0000000000
3028 54.0000000000
3247 58.0000000000
3500 59.0000000000
3592 61.0000000000
3921 62.0000000000
4205 63.0000000000
4355 67.0000000000
4400 71.0000000000
4549 75.0000000000
5011 77.0000000000
5581 79.0000000000
6064 81.0000000000
6757 84.0000000000
8793 86.0000000000
8902 87.0000000000
8964 89.0000000000
9235 93.0000000000
9637 96.0000000000
9739 98.0000000000
10026 99.0000000000
11701 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
7 4.0000000000
20 6.0000000000
28 7.0000000000
71 8.0000000000
119 9.0000000000
168 10.0000000000
175 16.0000000000
342 17.0000000000
465 18.0000000000
590 20.0000000000
656 22.0000000000
1029 24.0000000000
1280 26.0000000000
1393 27.0000000000
1554 28.0000000000
1606 29.0000000000
1611 30.0000000000
1870 31.0000000000
2084 33.0000000000
2127 34.0000000000
2498 35.0000000000
2773 38.0000000000
2811 42.0000000000
2887 43.0000000000
3160 45.0000000000
3171 46.0000000000
3186 47.0000000000
3330 48.0000000000
3838 52.0000000000
3909 53.0000000000
3959 55.0000000000
4028 56.0000000000
4166 59.0000000000
4184 61.0000000000
4260 62.0000000000
4397 63.0000000000
4949 65.0000000000
5116 71.0000000000
5162 77.0000000000
5253 81.0000000000
5382 82.0000000000
5824 86.0000000000
6515 88.0000000000
6518 89.0000000000
6894 90.0000000000
7081 93.0000000000
7149 94.0000000000
7301 95.0000000000
7417 96.0000000000
7453 97.0000000000
7651 99.0000000000
8447 100.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
5 4.0000000000
37 5.0000000000
44 9.0000000000
143 13.0000000000
263 15.0000000000
281 18.0000000000
299 19.0000000000
506 20.0000000000
996 22.0000000000
1031 23.0000000000
1076 25.0000000000
1087 26.0000000000
1192 27.0000000000
1411 32.0000000000
1480 33.0000000000
1556 34.0000000000
1728 40.0000000000
2005 42.0000000000
2353 43.0000000000
2549 45.0000000000
2745 47.0000000000
2978 53.0000000000
3095 57.0000000000
3576 60.0000000000
3788 62.0000000000
4139 64.0000000000
4518 66.0000000000
4957 67.0000000000
4964 68.0000000000
4991 70.0000000000
5252 71.0000000000
5340 74.0000000000
5377 76.0000000000
5578 78.0000000000
5721 81.0000000000
6017 83.0000000000
6023 85.0000000000
6441 86.0000000000
6980 88.0000000000
7866 89.0000000000
8134 90.0000000000
8340 94.0000000000
8632 96.0000000000
8872 97.0000000000
8875 98.0000000000
9159 99.0000000000
9246 100.0000000000
100000 38.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 6.0000000000
22 7.0000000000
93 8.0000000000
148 9.0000000000
226 10.0000000000
303 11.0000000000
582 12.0000000000
622 15.0000000000
655 16.0000000000
693 21.0000000000
749 22.0000000000
788 24.0000000000
958 27.0000000000
1042 29.0000000000
1072 32.0000000000
1319 35.0000000000
1361 37.0000000000
1456 40.0000000000
1613 42.0000000000
1876 43.0000000000
1972 44.0000000000
2001 45.0000000000
2491 46.0000000000
2746 48.0000000000
2789 49.0000000000
3057 53.0000000000
3244 54.0000000000
3291 55.0000000000
