evaluations raw_y
1 2677.0000000000
4 2704.0000000000
11 3104.0000000000
35 3175.0000000000
40 3380.0000000000
96 3502.0000000000
151 3549.0000000000
165 3624.0000000000
177 3650.0000000000
185 3678.0000000000
186 3817.0000000000
228 3974.0000000000
260 3998.0000000000
296 4021.0000000000
313 4046.0000000000
335 4255.0000000000
367 4300.0000000000
405 4361.0000000000
434 4368.0000000000
448 4381.0000000000
452 4431.0000000000
489 4451.0000000000
511 4474.0000000000
573 4479.0000000000
581 4488.0000000000
602 4514.0000000000
631 4528.0000000000
676 4559.0000000000
700 4584.0000000000
733 4646.0000000000
759 4686.0000000000
767 4692.0000000000
788 4700.0000000000
826 4701.0000000000
831 4781.0000000000
876 4838.0000000000
907 4841.0000000000
948 4844.0000000000
991 4858.0000000000
1038 4890.0000000000
1054 4949.0000000000
1126 4952.0000000000
1175 4979.0000000000
1225 4982.0000000000
1432 4992.0000000000
1454 5017.0000000000
1563 5026.0000000000
1687 5027.0000000000
1710 5049.0000000000
1771 5050.0000000000
100000 5004.0000000000
evaluations raw_y
1 2355.0000000000
2 2524.0000000000
3 2946.0000000000
5 3070.0000000000
9 3109.0000000000
11 3140.0000000000
19 3275.0000000000
29 3329.0000000000
59 3646.0000000000
111 3699.0000000000
155 3706.0000000000
183 3815.0000000000
185 4011.0000000000
210 4054.0000000000
275 4107.0000000000
302 4188.0000000000
318 4199.0000000000
327 4245.0000000000
381 4334.0000000000
392 4350.0000000000
399 4408.0000000000
471 4436.0000000000
496 4438.0000000000
505 4467.0000000000
516 4475.0000000000
541 4479.0000000000
568 4561.0000000000
593 4608.0000000000
666 4615.0000000000
687 4629.0000000000
725 4737.0000000000
834 4742.0000000000
877 4795.0000000000
990 4803.0000000000
1001 4816.0000000000
1018 4829.0000000000
1041 4845.0000000000
1084 4858.0000000000
1091 4871.0000000000
1145 4955.0000000000
1263 4960.0000000000
1307 4983.0000000000
1321 4986.0000000000
1346 4991.0000000000
1356 5011.0000000000
1427 5016.0000000000
1633 5019.0000000000
1705 5046.0000000000
1760 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2244.0000000000
