evaluations raw_y
1 2574.0000000000
2 2616.0000000000
3 2678.0000000000
4 2719.0000000000
6 2924.0000000000
8 3205.0000000000
18 3266.0000000000
233 3288.0000000000
623 3394.0000000000
984 3430.0000000000
2965 3610.0000000000
8572 3798.0000000000
65584 3825.0000000000
100000 3132.0000000000
evaluations raw_y
1 2593.0000000000
9 2689.0000000000
13 2698.0000000000
18 2897.0000000000
30 3001.0000000000
83 3034.0000000000
136 3120.0000000000
222 3290.0000000000
426 3340.0000000000
833 3478.0000000000
1110 3479.0000000000
4317 3878.0000000000
100000 2347.0000000000
evaluations raw_y
1 2394.0000000000
2 2593.0000000000
3 2663.0000000000
6 2809.0000000000
9 2852.0000000000
11 3092.0000000000
131 3321.0000000000
140 3324.0000000000
271 3370.0000000000
491 3399.0000000000
611 3493.0000000000
1819 3636.0000000000
34363 3876.0000000000
100000 2646.0000000000
evaluations raw_y
1 2557.0000000000
4 2790.0000000000
5 2923.0000000000
14 2936.0000000000
21 2987.0000000000
36 2991.0000000000
45 3024.0000000000
63 3155.0000000000
137 3321.0000000000
217 3496.0000000000
1251 3539.0000000000
4796 3559.0000000000
10865 3596.0000000000
11223 3608.0000000000
20484 3660.0000000000
21984 3722.0000000000
100000 2193.0000000000
evaluations raw_y
1 2536.0000000000
2 2556.0000000000
4 2677.0000000000
5 2823.0000000000
7 2932.0000000000
8 3032.0000000000
18 3221.0000000000
221 3247.0000000000
494 3358.0000000000
2216 3368.0000000000
2540 3509.0000000000
11043 3511.0000000000
12052 3524.0000000000
18990 3768.0000000000
50680 3806.0000000000
100000 2624.0000000000
evaluations raw_y
1 2343.0000000000
2 2581.0000000000
4 3103.0000000000
98 3212.0000000000
134 3249.0000000000
308 3253.0000000000
641 3379.0000000000
821 3427.0000000000
1936 3456.0000000000
3860 3496.0000000000
9127 3548.0000000000
9265 3613.0000000000
10753 3633.0000000000
24440 3664.0000000000
25084 3682.0000000000
29426 3743.0000000000
100000 2818.0000000000
evaluations raw_y
1 2112.0000000000
2 2819.0000000000
8 2973.0000000000
25 3049.0000000000
90 3310.0000000000
174 3350.0000000000
324 3423.0000000000
1207 3484.0000000000
4164 3669.0000000000
11579 3720.0000000000
49368 3771.0000000000
100000 2530.0000000000
evaluations raw_y
1 3062.0000000000
13 3173.0000000000
92 3381.0000000000
1216 3390.0000000000
2934 3416.0000000000
3152 3551.0000000000
7284 3633.0000000000
17631 3724.0000000000
100000 1907.0000000000
evaluations raw_y
1 2860.0000000000
7 2898.0000000000
23 2979.0000000000
37 3115.0000000000
114 3223.0000000000
176 3390.0000000000
792 3394.0000000000
849 3508.0000000000
6115 3565.0000000000
7676 3620.0000000000
25843 3759.0000000000
84569 3766.0000000000
100000 2797.0000000000
evaluations raw_y
1 2766.0000000000
11 2847.0000000000
12 3044.0000000000
16 3648.0000000000
31821 3693.0000000000
81039 3771.0000000000
100000 2429.0000000000
