evaluations raw_y
1 1.3623978202
5 1.4889815366
46 1.5479876161
48 1.6995241332
619 1.7768301350
1728 1.8129079043
3438 1.9334880124
4273 1.9825535289
4590 2.0408163265
8202 2.1312872975
13926 2.1533161068
30867 2.2301516503
43818 2.2831050228
100000 0.8938148016
evaluations raw_y
1 1.0579771477
3 1.7470300489
460 1.7692852088
649 1.9794140934
2636 2.1240441801
25228 2.2182786158
28160 2.3651844844
61439 2.4826216485
100000 0.8477449983
evaluations raw_y
1 1.1665888941
2 1.3206550449
7 1.4509576320
66 1.5422578655
102 1.7158544955
509 1.7277125086
646 1.8867924528
2221 1.8925056775
5831 2.0112630732
18877 2.0542317173
21003 2.0990764064
33884 2.1459227468
46701 2.1720243267
51045 2.2872827081
100000 1.2357884330
evaluations raw_y
1 0.9430403621
2 1.2321340562
10 1.3390465988
48 1.4425851125
81 1.6244314490
116 1.6655562958
167 1.6812373907
426 1.7229496899
568 1.8315018315
1466 1.8341892883
2178 1.8504811251
2519 1.9364833462
3668 1.9888623707
8550 2.1872265967
13057 2.2461814915
87788 2.3169601483
100000 0.9087604507
evaluations raw_y
1 1.0950503723
2 1.1956001913
16 1.2632642749
18 1.3390465988
21 1.4245014245
40 1.5733165513
214 1.6903313049
276 1.7768301350
571 1.8896447468
1795 1.9762845850
8222 2.0542317173
23204 2.2065313327
30270 2.3041474654
60280 2.3651844844
100000 1.0464629552
evaluations raw_y
1 0.9324878777
2 0.9604302728
4 1.7568517217
454 1.7642907551
739 1.8024513338
890 1.8129079043
960 1.9040365575
1964 2.0781379884
3867 2.1682567216
51145 2.1987686895
100000 1.1820330969
evaluations raw_y
1 1.3361838589
2 1.5673981191
115 1.5974440895
126 1.6181229773
281 1.7717930546
808 1.9127773527
3047 2.0644095789
3927 2.0781379884
13120 2.3518344309
100000 0.9567546881
evaluations raw_y
1 1.1887779363
3 1.3743815283
4 1.5576323988
31 1.5913430936
86 1.6835016835
145 1.6880486158
162 2.0746887967
8416 2.2065313327
27669 2.2341376229
100000 1.3974287311
evaluations raw_y
1 0.7456009544
2 1.2036591237
3 1.2272950417
5 1.3276686139
18 1.3361838589
45 1.6458196182
210 1.7111567420
271 1.7768301350
597 2.0210185934
5959 2.0308692120
8147 2.0542317173
15670 2.2706630336
26152 2.3832221163
63719 2.4925224327
100000 0.9174311927
evaluations raw_y
1 0.9723842863
3 1.0499790004
4 1.1348161598
11 1.5051173992
25 1.5160703457
36 1.6286644951
62 1.7618040874
373 1.9731649566
24053 2.0210185934
30642 2.0441537204
35982 2.0610057708
42218 2.0920502092
54451 2.0955574183
56668 2.1097046414
57828 2.1312872975
68819 2.2624434389
77502 2.2872827081
95345 2.3877745941
100000 0.7718431615
