evaluations raw_y
1 -1157.0000000000
3 -1146.0000000000
25 -943.0000000000
457 -913.0000000000
581 -845.0000000000
1483 -796.0000000000
5380 -748.0000000000
10712 -708.0000000000
15261 -700.0000000000
17729 -699.0000000000
19350 -670.0000000000
100000 -1293.0000000000
evaluations raw_y
1 -1283.0000000000
3 -1060.0000000000
89 -991.0000000000
172 -962.0000000000
335 -933.0000000000
416 -923.0000000000
545 -905.0000000000
638 -816.0000000000
2601 -806.0000000000
3802 -788.0000000000
5152 -787.0000000000
7745 -777.0000000000
11700 -690.0000000000
84962 -631.0000000000
100000 -1420.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1322.0000000000
4 -1273.0000000000
6 -1196.0000000000
22 -1088.0000000000
74 -953.0000000000
313 -932.0000000000
618 -924.0000000000
1018 -660.0000000000
100000 -1488.0000000000
evaluations raw_y
1 -1566.0000000000
2 -1313.0000000000
5 -1146.0000000000
21 -1039.0000000000
22 -971.0000000000
82 -884.0000000000
169 -855.0000000000
1608 -845.0000000000
1817 -816.0000000000
6970 -796.0000000000
14306 -670.0000000000
40987 -641.0000000000
76162 -612.0000000000
100000 -1361.0000000000
evaluations raw_y
1 -1069.0000000000
37 -1002.0000000000
44 -904.0000000000
391 -787.0000000000
8866 -738.0000000000
23593 -728.0000000000
35167 -709.0000000000
44783 -680.0000000000
58232 -631.0000000000
100000 -1683.0000000000
evaluations raw_y
1 -1693.0000000000
2 -1546.0000000000
3 -1537.0000000000
5 -1352.0000000000
6 -1283.0000000000
10 -1118.0000000000
20 -1001.0000000000
122 -864.0000000000
969 -855.0000000000
988 -797.0000000000
3003 -767.0000000000
8329 -718.0000000000
28089 -709.0000000000
30414 -650.0000000000
42036 -524.0000000000
100000 -1021.0000000000
evaluations raw_y
1 -1361.0000000000
2 -1127.0000000000
7 -1099.0000000000
20 -1070.0000000000
69 -1069.0000000000
90 -942.0000000000
173 -875.0000000000
839 -836.0000000000
2174 -807.0000000000
4573 -748.0000000000
9610 -738.0000000000
41489 -719.0000000000
44486 -699.0000000000
57778 -689.0000000000
100000 -1585.0000000000
evaluations raw_y
1 -1225.0000000000
17 -1040.0000000000
47 -1020.0000000000
130 -875.0000000000
801 -865.0000000000
809 -787.0000000000
2372 -739.0000000000
16402 -728.0000000000
34916 -699.0000000000
60094 -651.0000000000
100000 -1644.0000000000
evaluations raw_y
1 -1186.0000000000
2 -1157.0000000000
4 -1050.0000000000
7 -1030.0000000000
69 -1021.0000000000
82 -1001.0000000000
125 -796.0000000000
399 -747.0000000000
6799 -738.0000000000
15156 -680.0000000000
58077 -611.0000000000
100000 -1566.0000000000
evaluations raw_y
1 -1605.0000000000
2 -1429.0000000000
3 -1313.0000000000
4 -1186.0000000000
5 -1040.0000000000
26 -982.0000000000
48 -865.0000000000
220 -836.0000000000
2943 -757.0000000000
2964 -748.0000000000
13847 -747.0000000000
19651 -689.0000000000
36599 -680.0000000000
100000 -1400.0000000000
