evaluations raw_y
1 8.8000000000
12 9.2000000000
71 9.4000000000
283 9.6000000000
335 10.0000000000
1694 10.4000000000
4022 10.8000000000
9313 11.0000000000
18180 12.0000000000
100000 4.2000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
3 7.0000000000
10 7.2000000000
11 7.4000000000
17 8.2000000000
50 8.4000000000
73 9.0000000000
114 9.6000000000
418 9.8000000000
1407 10.8000000000
11453 11.0000000000
38342 11.4000000000
60506 12.0000000000
100000 7.0000000000
evaluations raw_y
1 5.2000000000
2 7.0000000000
4 7.8000000000
13 8.2000000000
43 8.4000000000
54 8.8000000000
85 9.0000000000
125 9.4000000000
251 9.6000000000
495 10.8000000000
20003 11.0000000000
35190 11.2000000000
36229 11.4000000000
82082 11.6000000000
100000 6.0000000000
evaluations raw_y
1 8.2000000000
8 8.4000000000
23 9.6000000000
101 9.8000000000
680 10.0000000000
1696 11.0000000000
5634 11.2000000000
15166 11.6000000000
23031 12.0000000000
100000 5.0000000000
evaluations raw_y
1 6.4000000000
4 7.0000000000
5 8.2000000000
7 8.4000000000
57 10.4000000000
10046 10.6000000000
10879 10.8000000000
25115 11.0000000000
49051 11.8000000000
100000 7.8000000000
evaluations raw_y
1 6.8000000000
2 8.8000000000
36 9.0000000000
47 9.6000000000
105 9.8000000000
666 10.4000000000
6186 10.8000000000
13865 11.2000000000
80246 11.6000000000
80633 12.4000000000
100000 6.4000000000
evaluations raw_y
1 5.6000000000
2 5.8000000000
3 8.4000000000
6 9.0000000000
76 9.4000000000
239 9.6000000000
405 10.0000000000
538 10.8000000000
854 11.0000000000
9878 11.6000000000
30723 12.0000000000
77907 12.4000000000
100000 5.0000000000
evaluations raw_y
1 7.0000000000
5 7.2000000000
9 7.6000000000
14 8.4000000000
23 8.6000000000
124 8.8000000000
151 10.0000000000
237 10.4000000000
285 10.6000000000
17191 11.0000000000
26150 11.8000000000
100000 7.0000000000
evaluations raw_y
1 7.6000000000
5 7.8000000000
7 8.8000000000
42 9.2000000000
150 9.4000000000
250 9.6000000000
251 10.0000000000
1779 10.4000000000
2596 10.8000000000
13194 11.4000000000
37195 12.4000000000
100000 8.4000000000
evaluations raw_y
1 4.8000000000
2 6.8000000000
3 7.4000000000
18 8.0000000000
20 9.4000000000
29 10.0000000000
2728 10.4000000000
5970 12.2000000000
100000 6.8000000000
