evaluations raw_y
1 50.0000000000
2 60.0000000000
16 61.0000000000
78 63.0000000000
87 66.0000000000
1632 67.0000000000
2630 68.0000000000
19021 69.0000000000
100000 52.0000000000
evaluations raw_y
1 49.0000000000
3 64.0000000000
377 66.0000000000
1778 67.0000000000
8437 69.0000000000
23114 71.0000000000
32642 72.0000000000
100000 57.0000000000
evaluations raw_y
1 50.0000000000
2 58.0000000000
70 59.0000000000
91 62.0000000000
332 67.0000000000
1435 68.0000000000
5735 69.0000000000
9153 70.0000000000
19776 74.0000000000
100000 44.0000000000
evaluations raw_y
1 47.0000000000
2 54.0000000000
4 57.0000000000
31 59.0000000000
78 62.0000000000
120 64.0000000000
778 66.0000000000
5366 67.0000000000
13280 69.0000000000
100000 60.0000000000
evaluations raw_y
1 56.0000000000
8 57.0000000000
35 61.0000000000
93 63.0000000000
550 64.0000000000
757 65.0000000000
2107 73.0000000000
6500 76.0000000000
100000 61.0000000000
evaluations raw_y
1 47.0000000000
2 51.0000000000
3 52.0000000000
6 54.0000000000
9 57.0000000000
12 59.0000000000
58 61.0000000000
75 68.0000000000
2111 69.0000000000
23044 70.0000000000
99639 71.0000000000
100000 48.0000000000
evaluations raw_y
1 47.0000000000
2 54.0000000000
5 60.0000000000
26 62.0000000000
382 63.0000000000
649 64.0000000000
1080 65.0000000000
3175 66.0000000000
3518 69.0000000000
36347 73.0000000000
100000 60.0000000000
evaluations raw_y
1 50.0000000000
5 53.0000000000
7 56.0000000000
32 59.0000000000
38 60.0000000000
106 64.0000000000
692 66.0000000000
731 67.0000000000
913 68.0000000000
3858 69.0000000000
19257 70.0000000000
100000 44.0000000000
evaluations raw_y
1 49.0000000000
5 52.0000000000
6 54.0000000000
9 55.0000000000
23 56.0000000000
26 66.0000000000
38 68.0000000000
11403 69.0000000000
28399 70.0000000000
100000 47.0000000000
evaluations raw_y
1 39.0000000000
2 44.0000000000
3 58.0000000000
4 60.0000000000
27 61.0000000000
46 62.0000000000
243 63.0000000000
502 64.0000000000
1693 65.0000000000
3146 66.0000000000
3628 68.0000000000
6852 69.0000000000
100000 50.0000000000
