>>> eil51.tsp (n=51) | resume from run 0/30
[eil51.tsp] run  1/30 | best=   426 | mean=  426.00 std=  0.00 | t=  7.3s ETA=00:03:31
[eil51.tsp] run  2/30 | best=   427 | mean=  426.50 std=  0.50 | t=  9.4s ETA=00:03:53
[eil51.tsp] run  3/30 | best=   426 | mean=  426.33 std=  0.47 | t= 12.9s ETA=00:04:26
[eil51.tsp] run  4/30 | best=   426 | mean=  426.25 std=  0.43 | t= 12.5s ETA=00:04:33
[eil51.tsp] run  5/30 | best=   426 | mean=  426.20 std=  0.40 | t= 12.9s ETA=00:04:34
[eil51.tsp] run  6/30 | best=   426 | mean=  426.17 std=  0.37 | t= 12.7s ETA=00:04:30
[eil51.tsp] run  7/30 | best=   428 | mean=  426.43 std=  0.73 | t= 12.8s ETA=00:04:24
[eil51.tsp] run  8/30 | best=   426 | mean=  426.38 std=  0.70 | t= 12.8s ETA=00:04:16
[eil51.tsp] run  9/30 | best=   426 | mean=  426.33 std=  0.67 | t= 12.3s ETA=00:04:06
[eil51.tsp] run 10/30 | best=   426 | mean=  426.30 std=  0.64 | t= 13.0s ETA=00:03:57
[eil51.tsp] run 11/30 | best=   426 | mean=  426.27 std=  0.62 | t= 12.8s ETA=00:03:46
[eil51.tsp] run 12/30 | best=   427 | mean=  426.33 std=  0.62 | t= 13.1s ETA=00:03:36
[eil51.tsp] run 13/30 | best=   426 | mean=  426.31 std=  0.61 | t= 13.4s ETA=00:03:26
[eil51.tsp] run 14/30 | best=   427 | mean=  426.36 std=  0.61 | t= 12.6s ETA=00:03:14
[eil51.tsp] run 15/30 | best=   426 | mean=  426.33 std=  0.60 | t= 12.5s ETA=00:03:02
[eil51.tsp] run 16/30 | best=   426 | mean=  426.31 std=  0.58 | t= 13.3s ETA=00:02:51
[eil51.tsp] run 17/30 | best=   426 | mean=  426.29 std=  0.57 | t= 12.9s ETA=00:02:39
[eil51.tsp] run 18/30 | best=   426 | mean=  426.28 std=  0.56 | t= 12.6s ETA=00:02:27
[eil51.tsp] run 19/30 | best=   427 | mean=  426.32 std=  0.57 | t= 12.6s ETA=00:02:15
[eil51.tsp] run 20/30 | best=   426 | mean=  426.30 std=  0.56 | t= 13.1s ETA=00:02:03
[eil51.tsp] run 21/30 | best=   426 | mean=  426.29 std=  0.55 | t= 12.8s ETA=00:01:51
[eil51.tsp] run 22/30 | best=   426 | mean=  426.27 std=  0.54 | t= 12.6s ETA=00:01:39
[eil51.tsp] run 23/30 | best=   426 | mean=  426.26 std=  0.53 | t= 12.9s ETA=00:01:26
[eil51.tsp] run 24/30 | best=   426 | mean=  426.25 std=  0.52 | t= 12.6s ETA=00:01:14
[eil51.tsp] run 25/30 | best=   427 | mean=  426.28 std=  0.53 | t= 12.8s ETA=00:01:02
[eil51.tsp] run 26/30 | best=   426 | mean=  426.27 std=  0.52 | t= 12.7s ETA=00:00:49
[eil51.tsp] run 27/30 | best=   428 | mean=  426.33 std=  0.61 | t= 12.7s ETA=00:00:37
[eil51.tsp] run 28/30 | best=   426 | mean=  426.32 std=  0.60 | t= 12.7s ETA=00:00:24
[eil51.tsp] run 29/30 | best=   427 | mean=  426.34 std=  0.60 | t= 12.8s ETA=00:00:12
[eil51.tsp] run 30/30 | best=   426 | mean=  426.33 std=  0.60 | t= 12.9s ETA=00:00:00
>> eil51.tsp: avg=426.33, std=0.60

>>> eil76.tsp (n=76) | resume from run 0/30
[eil76.tsp] run  1/30 | best=   543 | mean=  543.00 std=  0.00 | t= 18.8s ETA=00:09:06
[eil76.tsp] run  2/30 | best=   543 | mean=  543.00 std=  0.00 | t= 18.7s ETA=00:08:45
