run,best,mean_so_far,std_so_far,secs
1,635,635.00,0.00,25.19
2,632,633.50,1.50,25.01
3,638,635.00,2.45,25.15
4,638,635.75,2.49,25.07
5,636,635.80,2.23,25.41
6,638,636.17,2.19,25.37
7,639,636.57,2.26,25.32
8,636,636.50,2.12,25.50
9,634,636.22,2.15,25.22
10,635,636.10,2.07,25.24
11,630,635.55,2.64,24.97
12,639,635.83,2.70,25.24
13,630,635.38,3.03,25.08
14,635,635.36,2.92,25.19
15,629,634.93,3.23,24.99
16,636,635.00,3.14,25.26
17,629,634.65,3.36,25.26
18,638,634.83,3.35,25.28
19,642,635.21,3.64,25.58
20,638,635.35,3.60,25.38
21,632,635.19,3.58,25.02
22,633,635.09,3.53,25.12
23,634,635.04,3.46,25.37
24,635,635.04,3.38,25.02
25,639,635.20,3.41,24.92
26,640,635.38,3.46,25.16
27,635,635.37,3.40,25.41
28,639,635.50,3.41,25.43
29,635,635.48,3.35,25.09
30,632,635.37,3.35,25.59
