run,best,mean_so_far,std_so_far,secs
1,21282,21282.00,0.00,23.38
2,21282,21282.00,0.00,24.62
3,21282,21282.00,0.00,23.15
4,21282,21282.00,0.00,23.67
5,21282,21282.00,0.00,23.24
6,21282,21282.00,0.00,23.22
7,21282,21282.00,0.00,23.46
8,21282,21282.00,0.00,23.47
9,21282,21282.00,0.00,23.49
10,21282,21282.00,0.00,23.58
11,21282,21282.00,0.00,23.74
12,21282,21282.00,0.00,23.48
13,21282,21282.00,0.00,23.61
14,21305,21283.64,5.92,23.62
15,21282,21283.53,5.74,23.04
16,21282,21283.44,5.57,23.52
17,21282,21283.35,5.41,23.17
18,21282,21283.28,5.27,23.41
19,21282,21283.21,5.14,23.80
20,21282,21283.15,5.01,23.40
21,21282,21283.10,4.90,23.62
22,21282,21283.05,4.79,23.29
23,21282,21283.00,4.69,23.28
24,21282,21282.96,4.60,23.49
25,21282,21282.92,4.51,23.43
26,21282,21282.88,4.42,23.33
27,21282,21282.85,4.34,23.36
28,21317,21284.07,7.64,23.47
29,21282,21284.00,7.52,23.19
30,21282,21283.93,7.40,23.55
