run,best,mean_so_far,std_so_far,secs
1,20749,20749.00,0.00,23.72
2,20769,20759.00,10.00,23.54
3,20819,20779.00,29.44,23.66
4,20915,20813.00,64.17,24.03
5,20749,20800.20,62.85,24.12
6,20769,20795.00,58.54,24.07
7,20749,20788.43,56.54,24.11
8,20749,20783.50,54.47,25.47
9,20819,20787.44,52.55,24.01
10,20819,20790.60,50.74,23.93
11,20749,20786.82,49.84,23.26
12,20749,20783.67,48.85,17.33
13,20812,20785.85,47.54,23.69
14,20749,20783.21,46.78,23.42
15,20749,20780.93,45.99,23.50
16,20749,20778.94,45.20,24.09
17,20749,20777.18,44.41,23.56
18,20749,20775.61,43.64,24.83
19,20749,20774.21,42.89,23.97
20,20749,20772.95,42.16,23.45
21,20769,20772.76,41.15,23.33
22,20749,20771.68,40.51,23.29
23,20749,20770.70,39.89,23.30
24,20749,20769.79,39.29,23.80
25,20749,20768.96,38.71,23.96
26,20749,20768.19,38.15,24.80
27,20769,20768.22,37.44,24.51
28,20819,20770.04,37.95,24.38
29,20749,20769.31,37.49,24.58
30,20749,20768.63,37.04,22.26
