run,best,mean_so_far,std_so_far,secs
1,21389,21389.00,0.00,14.06
2,21309,21349.00,40.00,24.29
3,21389,21362.33,37.71,24.34
4,21362,21362.25,32.66,24.59
5,21294,21348.60,39.98,24.35
6,21294,21339.50,41.79,24.68
7,21366,21343.29,39.78,24.24
8,21384,21348.38,39.58,24.28
9,21309,21344.00,39.31,24.36
10,21309,21340.50,38.74,24.69
11,21490,21354.09,56.67,24.14
12,21351,21353.83,54.27,23.81
13,21362,21354.46,52.18,23.91
14,21389,21356.93,51.07,24.66
15,21389,21359.07,49.98,24.89
16,21347,21358.31,48.48,23.94
17,21309,21355.41,48.44,24.55
18,21389,21357.28,47.70,24.43
19,21442,21361.74,50.14,23.81
20,21374,21362.35,48.94,24.09
21,21389,21363.62,48.10,24.61
22,21389,21364.77,47.29,23.71
23,21374,21365.17,46.29,23.83
24,21374,21365.54,45.34,23.68
25,21374,21365.88,44.46,23.76
26,21437,21368.62,45.69,24.49
27,21499,21373.44,51.15,24.10
28,21410,21374.75,50.69,23.79
29,21294,21371.97,51.94,24.55
30,21309,21369.87,52.30,24.09
