run,best,mean_so_far,std_so_far,secs
1,14379,14379.00,0.00,24.58
2,14379,14379.00,0.00,24.59
3,14475,14411.00,45.25,24.69
4,14379,14403.00,41.57,24.23
5,14401,14402.60,37.19,24.54
6,14379,14398.67,35.07,24.64
7,14379,14395.86,33.19,24.75
8,14379,14393.75,31.54,24.55
9,14379,14392.11,30.10,25.06
10,14379,14390.80,28.82,25.46
11,14379,14389.73,27.69,24.75
12,14401,14390.67,26.69,26.08
13,14401,14391.46,25.79,24.85
14,14379,14390.57,25.06,24.79
15,14379,14389.80,24.38,25.12
16,14379,14389.12,23.75,24.70
17,14379,14388.53,23.17,24.89
18,14426,14390.61,24.10,25.10
19,14379,14390.00,23.60,24.74
20,14379,14389.45,23.12,24.68
21,14379,14388.95,22.67,24.98
22,14379,14388.50,22.25,24.74
23,14379,14388.09,21.85,24.88
24,14379,14387.71,21.46,24.94
25,14379,14387.36,21.10,24.81
26,14434,14389.15,22.55,24.74
27,14379,14388.78,22.21,25.10
28,14379,14388.43,21.89,25.07
29,14379,14388.10,21.57,25.10
30,14379,14387.80,21.28,24.77
