run,best,mean_so_far,std_so_far,secs
1,52775,52775.00,0.00,151.67
2,53510,53142.50,367.50,163.05
3,52253,52846.00,515.62,163.95
4,52746,52821.00,448.63,150.85
5,52927,52842.20,403.50,168.03
6,52648,52809.83,375.39,180.07
7,53107,52852.29,362.77,169.34
8,52960,52865.75,341.20,153.62
9,52281,52800.78,370.48,150.68
10,52822,52802.90,351.52,150.61
11,52680,52791.73,337.02,151.54
12,53810,52876.58,428.16,152.48
13,53077,52892.00,414.82,156.30
14,52908,52893.14,399.75,152.24
15,53569,52938.20,421.39,153.48
16,53008,52942.56,408.36,154.18
17,53198,52957.59,400.70,153.78
18,53404,52982.39,402.61,162.23
19,53066,52986.79,392.32,176.75
20,53649,53019.90,408.71,183.40
21,52758,53007.43,402.75,183.88
22,52881,53001.68,394.37,175.80
23,53282,53013.87,389.91,175.99
24,53230,53022.88,384.14,174.12
25,53501,53042.00,387.86,174.66
26,53078,53043.38,380.39,158.80
27,52187,53011.67,406.81,154.06
28,53071,53013.79,399.63,164.29
29,52736,53004.21,395.94,171.61
30,53915,53034.57,422.22,165.14
