run,best,mean_so_far,std_so_far,secs
1,461765,461765.00,0.00,2274.21
2,463533,462649.00,884.00,2067.85
3,474148,466482.00,5468.52,2053.11
4,464491,465984.25,4813.71,2172.00
5,471240,467035.40,4791.36,1553.39
6,465787,466827.33,4398.57,1397.92
7,463364,466332.57,4248.79,1368.44
8,465669,466249.62,3980.43,1541.01
9,467977,466441.56,3791.85,1315.88
10,470748,466872.20,3822.22,1327.49
11,465872,466781.27,3655.67,1513.53
12,465407,466666.75,3520.59,2035.77
13,462907,466377.54,3527.73,2014.78
14,467098,466429.00,3404.46,1320.89
15,465606,466374.13,3295.42,1276.32
16,469334,466559.12,3270.23,1280.90
17,467615,466621.24,3182.30,1208.61
18,473626,467010.39,3484.10,1173.64
19,462462,466771.00,3539.99,1189.58
20,464596,466662.25,3482.77,1180.67
21,461106,466397.67,3598.91,1185.92
22,469551,466541.00,3576.99,1195.71
23,462614,466370.26,3588.86,1191.75
24,466882,466391.58,3514.78,1176.89
25,471002,466576.00,3560.31,1187.16
26,466100,466557.69,3492.37,1185.21
27,466715,466563.52,3427.21,1189.11
28,472064,466759.96,3516.85,1202.62
29,463069,466632.69,3520.70,1191.94
30,460718,466435.53,3620.69,1191.19
