# instance algo pop gens best_cost
eil51 1 20 2000 1308
eil51 1 20 5000 1308
eil51 1 20 10000 1308
eil51 1 20 20000 1308
eil51 1 50 2000 1308
eil51 1 50 5000 1308
eil51 1 50 10000 1308
eil51 1 50 20000 1308
eil51 1 100 2000 1308
eil51 1 100 5000 1308
eil51 1 100 10000 1308
eil51 1 100 20000 1308
eil51 1 200 2000 1308
eil51 1 200 5000 1308
eil51 1 200 10000 1308
eil51 1 200 20000 1308
eil51 2 20 2000 1308
eil51 2 20 5000 1308
eil51 2 20 10000 1308
eil51 2 20 20000 1308
eil51 2 50 2000 1308
eil51 2 50 5000 1308
eil51 2 50 10000 1308
eil51 2 50 20000 1308
eil51 2 100 2000 1308
eil51 2 100 5000 1308
eil51 2 100 10000 1308
eil51 2 100 20000 1308
eil51 2 200 2000 1308
eil51 2 200 5000 1308
eil51 2 200 10000 1308
eil51 2 200 20000 1308
eil51 3 20 2000 1308
eil51 3 20 5000 1308
eil51 3 20 10000 1308
eil51 3 20 20000 1308
eil51 3 50 2000 1308
eil51 3 50 5000 1308
eil51 3 50 10000 1308
eil51 3 50 20000 1308
eil51 3 100 2000 1308
eil51 3 100 5000 1308
eil51 3 100 10000 1308
eil51 3 100 20000 1308
eil51 3 200 2000 1308
eil51 3 200 5000 1308
eil51 3 200 10000 1308
eil51 3 200 20000 1308
eil76 1 20 2000 1969
eil76 1 20 5000 1969
eil76 1 20 10000 1969
eil76 1 20 20000 1969
eil76 1 50 2000 1969
eil76 1 50 5000 1969
eil76 1 50 10000 1969
eil76 1 50 20000 1969
eil76 1 100 2000 1969
eil76 1 100 5000 1969
eil76 1 100 10000 1969
eil76 1 100 20000 1969
eil76 1 200 2000 1969
eil76 1 200 5000 1969
eil76 1 200 10000 1969
eil76 1 200 20000 1969
eil76 2 20 2000 1969
eil76 2 20 5000 1969
eil76 2 20 10000 1969
eil76 2 20 20000 1969
eil76 2 50 2000 1969
eil76 2 50 5000 1969
eil76 2 50 10000 1969
eil76 2 50 20000 1969
eil76 2 100 2000 1969
eil76 2 100 5000 1969
