# instance  algorithm  runs  min  mean
eil51 jump 30 1491 1640.00
eil51 exchange 30 742 971.63
eil51 2opt 30 447 472.23

eil76 jump 30 2334 2535.63
eil76 exchange 30 880 1411.20
eil76 2opt 30 562 595.10

eil101 jump 30 3088 3468.67
eil101 exchange 30 1205 1898.57
eil101 2opt 30 665 699.37

st70 jump 30 3348 3648.07
st70 exchange 30 1315 2134.03
st70 2opt 30 706 752.20

kroA100 jump 30 150238 171988.27
kroA100 exchange 30 55782 94715.67
kroA100 2opt 30 22835 24625.60

kroC100 jump 30 151789 171399.83
kroC100 exchange 30 54046 100963.77
kroC100 2opt 30 22636 23936.40

kroD100 jump 30 146421 161611.20
kroD100 exchange 30 51588 88621.77
kroD100 2opt 30 23367 24426.43

lin105 jump 30 108819 123779.30
lin105 exchange 30 35393 69817.17
lin105 2opt 30 15411 16755.73

pcb442 jump 30 757117 776013.97
pcb442 exchange 30 177352 311050.30
pcb442 2opt 30 67875 75084.73

pr2392 jump 30 15069127 15282945.93
pr2392 exchange 30 8992411 9696132.40
pr2392 2opt 30 9570953 9925808.30


usa13509 jump 30 2117884380 2150968758.60
usa13509 exchange 30 1990267393 2014851914.23
usa13509 2opt 30 2009602700 2030201267.27
